"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_nonprofit.org","FirstLinkDate_alsnonprofit.org","LastLinkDate_nonprofit.org"
192,"medicalmarijuanautah.org",196,-1,1,3,1178,5458,3971,19/06/2012 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",26,7,3,05/06/2013 00:00,09/08/2013 00:00
193,"webmii.ch",15,-1,1,3,38745,415044,415043,05/12/2009 00:00,10/08/2013 00:00,"195.95.224.130","195.95.224.0","FR","ch",0,0,3,22/05/2010 00:00,09/12/2011 00:00
194,"simplysticky.us",29,-1,1,3,845,2442,1449,23/09/2009 00:00,08/08/2013 00:00,"68.180.151.96","68.180.151.0","US","us",8,1,3,07/11/2010 00:00,05/05/2011 00:00
195,"blogspot.it",156876,493,1,2,74413811,69945164,6162472,19/03/2011 00:00,10/08/2013 00:00,"173.194.70.191","173.194.70.0","US","it",57,46,2,07/03/2013 00:00,07/03/2013 00:00
196,"active.com",235199,3831,1,2,57804747,5935550,1784118,09/01/2008 00:00,10/08/2013 00:00,"23.60.127.46","23.60.127.0","US","com",62,64,2,18/02/2011 00:00,06/02/2013 00:00
197,"yousaytoo.com",72803,21704,1,2,9227595,4324396,1467546,11/01/2008 00:00,10/08/2013 00:00,"72.26.210.77","72.26.210.0","US","com",47,24,2,16/06/2009 00:00,16/06/2009 00:00
198,"linkeurope.info",2040,27742,1,2,115951,1687911,167007,12/10/2011 00:00,10/08/2013 00:00,"69.64.62.135","69.64.62.0","US","info",31,12,2,10/04/2013 00:00,10/04/2013 00:00
199,"shalove.net",3663,44411,1,2,2443626,6599899,1543287,27/01/2008 00:00,10/08/2013 00:00,"61.197.238.53","61.197.238.0","JP","net",24,10,2,04/09/2008 00:00,04/09/2008 00:00
200,"searchles.com",28982,70827,1,2,49137422,19685615,1735282,09/01/2008 00:00,01/08/2013 00:00,"66.232.115.130","66.232.115.0","US","com",33,24,2,29/05/2009 00:00,29/05/2009 00:00
201,"walkjogrun.net",5937,121975,1,2,351495,1529253,544179,21/01/2008 00:00,10/08/2013 00:00,"50.16.203.191","50.16.203.0","US","net",46,30,2,22/05/2013 00:00,22/05/2013 00:00
202,"badboysoftware.biz",44055,172540,1,2,701902,606946,151882,17/11/2008 00:00,10/08/2013 00:00,"182.50.148.128","182.50.148.0","SG","biz",44,25,2,10/07/2012 00:00,22/12/2012 00:00
