"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_nonprofit.org","FirstLinkDate_alsnonprofit.org","LastLinkDate_nonprofit.org"
284,"noolys.net",2090,-1,1,2,384166,4217500,813534,26/01/2008 00:00,10/08/2013 00:00,"85.13.137.176","85.13.137.0","DE","net",24,6,2,08/02/2009 00:00,08/02/2009 00:00
285,"medicalmarijuanavirginia.net",49,-1,1,2,514,3954,3692,26/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",15,0,2,19/04/2013 00:00,21/07/2013 00:00
286,"terracycle.net",11064,-1,1,2,386049,39658,30019,31/01/2008 00:00,10/08/2013 00:00,"50.19.86.241","50.19.86.0","US","net",35,39,2,17/08/2009 00:00,17/08/2009 00:00
287,"freesth.com",782,-1,1,2,11093,4582057,600594,23/09/2008 00:00,13/02/2013 00:00,"69.43.161.167","69.43.161.0","US","com",18,0,2,21/10/2009 00:00,23/02/2010 00:00
288,"sibernetik.net",1088,-1,1,2,9894,180622,69732,01/03/2008 00:00,10/08/2013 00:00,"208.109.78.143","208.109.78.0","US","net",26,8,2,30/07/2012 00:00,25/05/2013 00:00
289,"medicalmarijuanaindiana.org",58,-1,1,2,460,4134,3569,19/06/2012 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",17,2,2,24/02/2013 00:00,05/07/2013 00:00
290,"rezoom.net",5,-1,1,2,5,9411,6886,05/07/2008 00:00,10/07/2009 00:00,"92.42.70.10","92.42.70.0","NO","net",0,0,2,28/08/2008 00:00,28/08/2008 00:00
291,"medicalmarijuananewhampshire.org",102,-1,1,2,500,4821,4055,01/03/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",20,0,2,24/02/2013 00:00,16/07/2013 00:00
292,"licarh.org",74,-1,1,2,478,211460,94383,06/06/2009 00:00,13/03/2010 00:00,"8.5.1.42","8.5.1.0","US","org",6,12,2,05/08/2009 00:00,05/08/2009 00:00
293,"penthousedocklands.com",24,-1,1,2,2125,310676,310676,30/09/2008 00:00,12/02/2013 00:00,"82.98.86.178","82.98.86.0","DE","com",0,0,2,06/11/2010 00:00,06/11/2010 00:00
294,"pdfebooksz.com",717,-1,1,2,222117,4391328,429846,25/08/2010 00:00,13/09/2012 00:00,"208.91.197.104","208.91.197.0","UK","com",7,0,2,28/11/2010 00:00,28/11/2010 00:00
295,"medicalmarijuanamississippi.org",63,-1,1,2,518,4119,3715,04/03/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",15,0,2,02/03/2013 00:00,27/07/2013 00:00
296,"railcitygardencenter.com",57,-1,1,2,54303,14233,9400,22/11/2010 00:00,10/08/2013 00:00,"64.49.241.116","64.49.241.0","US","com",18,17,2,19/01/2012 00:00,24/01/2013 00:00
297,"lasvegasnow.com",22516,-1,1,2,2924483,366632,221162,02/02/2008 00:00,10/08/2013 00:00,"64.14.56.100","64.14.56.0","US","com",43,33,2,26/08/2009 00:00,26/08/2009 00:00
298,"7life7.net",4,-1,1,2,173,1081214,1081214,09/06/2009 00:00,10/08/2013 00:00,"184.168.221.96","184.168.221.0","US","net",0,0,2,08/11/2010 00:00,08/11/2010 00:00
299,"meta-search-engine.info",359,-1,1,2,2226,19485,13498,20/01/2008 00:00,19/05/2009 00:00,"80.156.86.78","80.156.86.0","DE","info",6,1,2,11/08/2008 00:00,11/08/2008 00:00
300,"c404.net",5525,-1,1,2,165670,104814,44408,19/02/2008 00:00,10/08/2013 00:00,"50.22.11.31","50.22.11.0","US","net",23,18,2,25/03/2013 00:00,25/03/2013 00:00
301,"searchles.net",0,-1,1,2,0,1022702,1022701,02/10/2008 00:00,21/01/2011 00:00,"216.25.250.66","216.25.250.0","US","net",0,0,2,25/05/2009 00:00,25/05/2009 00:00
302,"4mk.com",2,-1,1,2,2,671001,671001,11/01/2008 00:00,07/02/2013 00:00,"207.189.109.125","207.189.109.0","US","com",0,0,2,14/07/2009 00:00,14/07/2009 00:00
303,"foromarbella.com",802,-1,1,2,114861,1632510,793912,17/01/2008 00:00,10/08/2013 00:00,"216.40.252.90","216.40.252.0","US","com",17,12,2,28/08/2009 00:00,28/08/2009 00:00
304,"quinzeveranistas.com.br",185,-1,1,2,1597,8024,5418,28/12/2010 00:00,10/08/2013 00:00,"187.45.210.85","187.45.210.0","BR","br",15,1,2,20/07/2012 00:00,20/07/2012 00:00
305,"cleaningservicesinfo.net",9,-1,1,2,15,16179,15715,10/03/2013 00:00,10/08/2013 00:00,"184.172.188.159","184.172.188.0","US","net",15,0,2,16/03/2013 00:00,19/03/2013 00:00
306,"medicalmarijuanamaryland.org",121,-1,1,2,799,4393,3758,19/06/2012 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",19,0,2,23/02/2013 00:00,07/07/2013 00:00
307,"unam.mx",174943,1706,1,1,31767193,6933159,1698504,10/01/2008 00:00,10/08/2013 00:00,"132.248.10.44","132.248.10.0","MX","mx",61,74,1,03/07/2012 00:00,03/07/2012 00:00
308,"seoprofiler.com",15713,2991,1,1,975788,873919,109487,23/09/2010 00:00,10/08/2013 00:00,"107.22.190.110","107.22.190.0","US","com",37,46,1,07/02/2011 00:00,07/02/2011 00:00
309,"dig.do",4405,4121,1,1,7569196,1777632,171223,11/01/2013 00:00,10/08/2013 00:00,"50.17.198.28","50.17.198.0","US","do",67,31,1,28/07/2013 00:00,07/08/2013 00:00
310,"aboutus.org",186172,4144,1,1,38266159,44033117,2676896,09/01/2008 00:00,10/08/2013 00:00,"207.162.210.85","207.162.210.0","US","org",57,45,1,11/07/2009 00:00,11/07/2009 00:00
311,"pipl.com",74476,4145,1,1,9934477,16358227,1787803,12/01/2008 00:00,10/08/2013 00:00,"208.43.55.68","208.43.55.0","US","com",44,47,1,21/12/2009 00:00,08/02/2012 00:00
312,"goodsearch.com",77157,7296,1,1,78437896,4943524,1636910,09/01/2008 00:00,10/08/2013 00:00,"66.216.77.9","66.216.77.0","US","com",64,66,1,24/08/2010 00:00,09/05/2013 00:00
313,"qirina.com",4391,11727,1,1,203223,1509504,87765,05/12/2010 00:00,10/08/2013 00:00,"199.193.116.191","199.193.116.0","US","com",27,19,1,20/04/2013 00:00,20/04/2013 00:00
314,"lead411.com",19340,17397,1,1,22743990,12038184,1582868,24/01/2008 00:00,10/08/2013 00:00,"65.60.38.146","65.60.38.0","US","com",50,36,1,03/10/2012 00:00,03/10/2012 00:00
315,"buysll.com",1322,23651,1,1,213705,55079,44547,25/07/2012 00:00,10/08/2013 00:00,"208.101.62.195","208.101.62.0","US","com",32,16,1,20/02/2013 00:00,14/07/2013 00:00
316,"webnamelist.com",1520,26077,1,1,56926,12704,11320,23/02/2010 00:00,10/08/2013 00:00,"184.168.160.227","184.168.160.0","US","com",19,24,1,08/04/2011 00:00,08/04/2011 00:00
317,"netscape.com",764007,27020,1,1,776852501,186061659,3256100,09/01/2008 00:00,10/08/2013 00:00,"205.188.100.58","205.188.100.0","US","com",69,73,1,03/12/2009 00:00,03/12/2009 00:00
318,"ukings.info",357,29120,1,1,6292,66112,53215,19/06/2012 00:00,31/07/2013 00:00,"174.132.157.99","174.132.157.0","US","info",16,9,1,19/05/2013 00:00,19/05/2013 00:00
319,"list-of-domains.org",1990,31540,1,1,68904,21534,17268,06/05/2009 00:00,10/08/2013 00:00,"184.168.160.227","184.168.160.0","US","org",19,8,1,13/07/2011 00:00,13/07/2011 00:00
320,"guidestar.org",73973,33016,1,1,22522803,1666647,373533,15/01/2008 00:00,10/08/2013 00:00,"68.142.180.220","68.142.180.0","US","org",65,77,1,26/04/2013 00:00,26/04/2013 00:00
321,"nediyor.com",1,34062,1,1,1,679982,679981,03/04/2008 00:00,10/08/2013 00:00,"190.93.243.45","190.93.243.0","CR","com",0,0,1,17/06/2009 00:00,17/06/2009 00:00
322,"prleap.com",65572,42123,1,1,2215446,358360,187210,09/01/2008 00:00,10/08/2013 00:00,"198.143.157.34","198.143.157.0","US","com",54,59,1,23/01/2008 00:00,24/07/2013 00:00
323,"refertus.info",24113,47406,1,1,7690774,7168717,395370,20/09/2010 00:00,10/08/2013 00:00,"188.40.86.5","188.40.86.0","DE","info",37,24,1,09/05/2011 00:00,31/07/2012 00:00
324,"forum-software.org",107557,53792,1,1,3671355,436686,109754,23/01/2008 00:00,10/08/2013 00:00,"46.105.101.92","46.105.101.0","FR","org",68,44,1,28/07/2012 00:00,28/07/2012 00:00
325,"clarkcountynv.gov",6874,54953,1,1,278122,59392,28340,27/11/2008 00:00,10/08/2013 00:00,"198.190.190.64","198.190.190.0","US","gov",52,52,1,17/05/2012 00:00,09/08/2013 00:00
326,"fox5vegas.com",54128,56898,1,1,3615554,7516051,695376,09/01/2008 00:00,10/08/2013 00:00,"184.28.17.219","184.28.17.0","US","com",54,39,1,27/05/2010 00:00,27/05/2010 00:00
327,"surcentro.com",14710,64907,1,1,635924,3218384,1087177,12/10/2009 00:00,10/08/2013 00:00,"95.211.76.131","95.211.76.0","NL","com",49,33,1,23/08/2010 00:00,23/08/2010 00:00
328,"ktnv.com",54254,68769,1,1,1696744,902543,503539,16/02/2008 00:00,10/08/2013 00:00,"87.248.218.252","87.248.218.0","IT","com",53,51,1,25/07/2010 00:00,25/07/2010 00:00
329,"bolalist.com",6616,73117,1,1,157883,140624,113093,18/01/2009 00:00,10/08/2013 00:00,"173.0.129.54","173.0.129.0","US","com",41,14,1,04/04/2013 00:00,05/07/2013 00:00
330,"mediapool.bg",19206,79270,1,1,3767096,800966,378647,24/01/2008 00:00,10/08/2013 00:00,"193.194.140.19","193.194.140.0","BG","bg",47,45,1,01/08/2012 00:00,26/07/2013 00:00
331,"masterseek.com",14277,80290,1,1,97336498,26829806,2061622,09/01/2008 00:00,10/08/2013 00:00,"77.247.69.114","77.247.69.0","DK","com",59,45,1,20/03/2011 00:00,23/03/2011 00:00
332,"siteluck.com",12579,95904,1,1,420724,1613563,496592,14/02/2010 00:00,10/08/2013 00:00,"213.133.102.56","213.133.102.0","DE","com",37,31,1,21/11/2010 00:00,14/01/2012 00:00
333,"raceit.com",5313,96567,1,1,1716129,291552,86747,25/07/2008 00:00,10/08/2013 00:00,"216.26.176.106","216.26.176.0","US","com",44,38,1,02/07/2013 00:00,02/07/2013 00:00
334,"voyeurlatinocolegialas.com",1749,104469,1,1,28322,427156,122830,21/11/2010 00:00,10/08/2013 00:00,"50.63.97.1","50.63.97.0","US","com",25,3,1,15/01/2012 00:00,15/01/2012 00:00
335,"tileshop.com",7380,107415,1,1,255749,88815,70160,12/01/2008 00:00,10/08/2013 00:00,"67.90.96.102","67.90.96.0","US","com",42,50,1,28/06/2012 00:00,28/06/2012 00:00
336,"worddomination.com",1805,117409,1,1,19014,660831,219295,25/10/2011 00:00,10/08/2013 00:00,"206.214.217.23","206.214.217.0","US","com",28,10,1,12/06/2012 00:00,12/06/2012 00:00
337,"showsmart.com",5908,121553,1,1,51588,1120614,540715,10/01/2008 00:00,10/08/2013 00:00,"207.112.17.243","207.112.17.0","CA","com",34,16,1,13/04/2013 00:00,13/04/2013 00:00
338,"telecom.kz",10089,148027,1,1,672767,1057702,428412,24/01/2008 00:00,10/08/2013 00:00,"82.200.130.203","82.200.130.0","KZ","kz",40,24,1,02/05/2012 00:00,25/07/2013 00:00
339,"seotitles.com",1961,162303,1,1,683712,1325695,188449,12/12/2010 00:00,13/06/2013 00:00,"184.107.55.75","184.107.55.0","CA","com",11,1,1,20/04/2013 00:00,20/04/2013 00:00
340,"chamberorganizer.com",8074,188817,1,1,1314828,559129,259493,09/01/2008 00:00,10/08/2013 00:00,"72.52.220.166","72.52.220.0","US","com",44,43,1,18/02/2010 00:00,01/02/2013 00:00
341,"emunewz.net",14032,191729,1,1,140606,349659,107497,26/03/2011 00:00,10/08/2013 00:00,"62.75.254.56","62.75.254.0","DE","net",40,21,1,21/02/2012 00:00,21/02/2012 00:00
342,"engineseeker.com",18905,197300,1,1,1960771,12800596,1590649,10/01/2008 00:00,10/08/2013 00:00,"50.57.228.170","50.57.228.0","US","com",38,36,1,20/05/2009 00:00,28/04/2013 00:00
343,"submitlinks.us",1829,218533,1,1,183104,393961,73739,02/02/2009 00:00,10/08/2013 00:00,"67.20.83.144","67.20.83.0","US","us",15,21,1,08/05/2013 00:00,08/05/2013 00:00
344,"onthesamehost.com",11506,236348,1,1,1503125,10913271,1074118,18/06/2009 00:00,10/08/2013 00:00,"54.243.185.251","54.243.185.0","US","com",42,23,1,02/04/2012 00:00,02/04/2012 00:00
345,"lvrj.com",170789,240899,1,1,98862500,3653120,440432,12/01/2008 00:00,10/06/2013 00:00,"54.245.88.31","54.245.88.0","US","com",44,44,1,12/03/2013 00:00,12/03/2013 00:00
346,"studio-petz.com",9631,250577,1,1,2961654,17899927,1774441,20/01/2008 00:00,10/08/2013 00:00,"118.243.35.15","118.243.35.0","JP","com",45,27,1,14/10/2008 00:00,14/10/2008 00:00
347,"opx.pl",42121,267299,1,1,5809934,1509463,620342,24/01/2008 00:00,10/08/2013 00:00,"194.9.24.158","194.9.24.0","PL","pl",56,21,1,11/05/2013 00:00,11/05/2013 00:00
348,"ie7pro.com",36085,268730,1,1,6646312,1090849,346842,10/01/2008 00:00,10/08/2013 00:00,"184.172.2.123","184.172.2.0","US","com",40,40,1,11/07/2012 00:00,17/07/2012 00:00
349,"us-yellow.com",1830,271570,1,1,440946,541912,202550,02/04/2008 00:00,10/08/2013 00:00,"72.15.221.184","72.15.221.0","US","com",45,19,1,26/06/2013 00:00,26/06/2013 00:00
350,"uwcblog.com",43036,278113,1,1,1419510,1035835,398044,25/09/2008 00:00,10/08/2013 00:00,"142.4.8.174","142.4.8.0","US","com",45,17,1,09/11/2011 00:00,02/11/2012 00:00
351,"socialbookmarkingwebsite.com",13,311138,1,1,19,632032,632031,03/02/2008 00:00,10/08/2013 00:00,"64.95.64.194","64.95.64.0","US","com",7,6,1,26/08/2009 00:00,26/08/2009 00:00
352,"usef.org",18948,352026,1,1,4734741,724119,115825,27/01/2008 00:00,10/08/2013 00:00,"216.170.20.146","216.170.20.0","US","org",49,60,1,31/07/2011 00:00,10/11/2011 00:00
353,"zhyaoke.cn",546,385041,1,1,6612,34273,27724,20/01/2010 00:00,10/08/2013 00:00,"124.172.156.60","124.172.156.0","CN","cn",17,11,1,18/02/2011 00:00,12/05/2012 00:00
354,"holahola.pl",2115,386599,1,1,34205,12492,7276,22/01/2008 00:00,10/08/2013 00:00,"89.161.224.95","89.161.224.0","PL","pl",36,17,1,26/06/2012 00:00,26/06/2012 00:00
355,"bigfinder.de",12138,428763,1,1,1869979,113498,72123,26/01/2008 00:00,10/08/2013 00:00,"83.133.125.202","83.133.125.0","DE","de",27,14,1,21/10/2011 00:00,21/10/2011 00:00
356,"a--9.com",899,577134,1,1,5489,157150,120772,24/01/2008 00:00,10/08/2013 00:00,"207.58.163.189","207.58.163.0","US","com",33,39,1,15/03/2013 00:00,10/07/2013 00:00
357,"samepoint.com",8211,597807,1,1,3388215,33685022,1393646,19/10/2008 00:00,10/08/2013 00:00,"50.57.202.116","50.57.202.0","US","com",39,20,1,25/02/2010 00:00,25/02/2010 00:00
358,"fluctu8.com",3833,605794,1,1,237701,3132478,744385,10/01/2008 00:00,10/08/2013 00:00,"69.55.234.91","69.55.234.0","US","com",32,38,1,15/06/2012 00:00,15/06/2012 00:00
359,"feedbomb.com",2466,616444,1,1,42415,41867,37672,15/01/2008 00:00,23/06/2013 00:00,"23.23.200.63","23.23.200.0","US","com",15,24,1,17/10/2008 00:00,17/10/2008 00:00
360,"riight.com",3119,639154,1,1,353275,19055265,1449725,03/02/2008 00:00,10/08/2013 00:00,"216.18.21.96","216.18.21.0","CA","com",22,16,1,27/04/2010 00:00,27/04/2010 00:00
361,"securedc.com",3239,655580,1,1,30327,54363,23281,25/01/2008 00:00,10/08/2013 00:00,"64.8.116.137","64.8.116.0","US","com",25,23,1,02/08/2008 00:00,13/03/2012 00:00
362,"med-anecdotes.com",31453,676424,1,1,1879195,274390,182323,27/10/2010 00:00,10/08/2013 00:00,"173.201.216.43","173.201.216.0","US","com",45,17,1,12/06/2012 00:00,12/06/2012 00:00
363,"nonprofitlist.org",1296,677888,1,1,197802,82835,53828,02/10/2008 00:00,10/08/2013 00:00,"174.121.99.251","174.121.99.0","US","org",32,23,1,03/10/2012 00:00,03/10/2012 00:00
364,"mdpu.org.ua",9907,724223,1,1,119421,186652,115843,06/02/2008 00:00,10/08/2013 00:00,"194.54.83.86","194.54.83.0","UA","ua",44,23,1,19/02/2012 00:00,19/02/2012 00:00
365,"361du.net",2332,770711,1,1,83438,10929016,926147,14/04/2009 00:00,10/08/2013 00:00,"50.6.219.204","50.6.219.0","US","net",20,17,1,28/04/2013 00:00,28/04/2013 00:00
366,"freeclinicdirectory.org",146,818567,1,1,1809,23266,18005,03/05/2011 00:00,10/08/2013 00:00,"199.167.46.117","199.167.46.0","US","org",29,20,1,13/05/2013 00:00,01/07/2013 00:00
367,"ezee.ca",2605,853836,1,1,211593,1173,881,22/02/2008 00:00,10/08/2013 00:00,"74.124.198.62","74.124.198.0","US","ca",22,21,1,27/02/2010 00:00,27/02/2010 00:00
368,"kmir6.com",28988,891909,1,1,286502,471541,252222,01/02/2008 00:00,10/08/2013 00:00,"87.248.207.142","87.248.207.0","IT","com",35,33,1,23/07/2010 00:00,23/07/2010 00:00
369,"woodwardnews.net",3459,955703,1,1,122901,12140251,955648,21/01/2008 00:00,10/08/2013 00:00,"74.84.203.168","74.84.203.0","US","net",31,30,1,05/08/2013 00:00,05/08/2013 00:00
370,"businesscenterdispatch.com",12,988483,1,1,66,2035,1700,13/09/2012 00:00,10/08/2013 00:00,"208.113.141.224","208.113.141.0","US","com",14,5,1,02/08/2013 00:00,04/08/2013 00:00
371,"foe11.com",2,-1,1,1,2,184094,184094,04/10/2010 00:00,10/08/2013 00:00,"184.168.221.96","184.168.221.0","US","com",0,0,1,09/10/2012 00:00,20/11/2012 00:00
372,"ep2.nl",3230,-1,1,1,83514,652096,181898,28/01/2008 00:00,10/08/2013 00:00,"91.196.168.84","91.196.168.0","NL","nl",29,17,1,16/04/2012 00:00,16/04/2012 00:00
373,"floweruser.com",0,-1,1,1,0,16541,5339,07/02/2008 00:00,16/05/2008 00:00,"216.127.84.116","216.127.84.0","US","com",0,0,1,10/03/2008 00:00,10/03/2008 00:00
374,"yehboosearch.net",1,-1,1,1,1,603681,603681,26/01/2008 00:00,03/02/2013 00:00,"70.87.94.130","70.87.94.0","US","net",0,0,1,09/02/2009 00:00,09/02/2009 00:00
375,"fabulous50sford.com",4211,-1,1,1,43171,41669,21475,20/03/2008 00:00,10/08/2013 00:00,"206.45.64.137","206.45.64.0","CA","com",31,13,1,29/01/2012 00:00,29/01/2012 00:00
376,"buscatube.cl",1407,-1,1,1,294894,3767646,134622,24/01/2008 00:00,13/07/2013 00:00,"82.98.86.165","82.98.86.0","DE","cl",13,15,1,11/10/2008 00:00,11/10/2008 00:00
377,"exercise-tip-for-weight-loss.com",977,-1,1,1,4833,2077093,194395,29/06/2008 00:00,31/07/2013 00:00,"216.172.184.98","216.172.184.0","US","com",19,1,1,21/11/2012 00:00,21/11/2012 00:00
378,"ticalcs.net",8191,-1,1,1,175058,352360,109601,24/01/2008 00:00,07/08/2013 00:00,"74.208.85.226","74.208.85.0","US","net",17,15,1,13/01/2012 00:00,13/01/2012 00:00
379,"harmhero.nl",288,-1,1,1,2304,422958,34321,03/12/2008 00:00,08/08/2013 00:00,"67.205.60.81","67.205.60.0","US","nl",7,7,1,19/05/2011 00:00,19/05/2011 00:00
380,"etntalk.com",1464,-1,1,1,167730,22161,20858,08/02/2008 00:00,10/08/2013 00:00,"204.16.111.207","204.16.111.0","US","com",35,21,1,28/03/2013 00:00,28/03/2013 00:00
381,"medicalmarijuanatennessee.org",90,-1,1,1,811,5215,3879,19/06/2012 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",20,0,1,09/08/2013 00:00,09/08/2013 00:00
382,"etf-trend.com",688,-1,1,1,14661,111684,18149,22/12/2011 00:00,10/08/2013 00:00,"67.231.240.66","67.231.240.0","US","com",25,1,1,14/06/2012 00:00,14/06/2012 00:00
383,"incywincy.com",11778,-1,1,1,180480,1221726,350575,10/01/2008 00:00,13/09/2012 00:00,"74.95.0.186","74.95.0.0","US","com",21,24,1,31/08/2009 00:00,31/08/2009 00:00
384,"istanaartis.com",2067,-1,1,1,652720,8676144,752904,30/07/2009 00:00,24/07/2013 00:00,"8.5.1.51","8.5.1.0","US","com",20,18,1,01/08/2010 00:00,01/08/2010 00:00
385,"migrantsmalta.org",383,-1,1,1,3492,564416,75071,08/02/2011 00:00,08/11/2012 00:00,"50.22.11.10","50.22.11.0","US","org",7,15,1,08/05/2011 00:00,05/06/2011 00:00
386,"electric-wheelchairs-pro.com",8,-1,1,1,12,40406,33531,16/03/2013 00:00,21/05/2013 00:00,"96.125.163.152","96.125.163.0","US","com",0,0,1,21/03/2013 00:00,28/03/2013 00:00
387,"traveltipsforum.net",5896,-1,1,1,34016,136306,45880,13/10/2011 00:00,02/08/2013 00:00,"50.116.113.62","50.116.113.0","US","net",29,2,1,02/03/2012 00:00,02/03/2012 00:00
388,"hetaquariumcollectief.nl",584,-1,1,1,34306,37808,15686,19/02/2008 00:00,27/08/2012 00:00,"5.9.210.33","5.9.210.0","DE","nl",8,11,1,02/05/2012 00:00,02/05/2012 00:00
389,"108things.com",552,-1,1,1,4709,1940991,97391,05/04/2008 00:00,09/07/2013 00:00,"118.139.185.1","118.139.185.0","SG","com",8,0,1,23/02/2009 00:00,23/02/2009 00:00
390,"hawksgrill.com",70,-1,1,1,512,197412,36693,13/09/2008 00:00,16/12/2009 00:00,"213.239.175.175","213.239.175.0","NL","com",6,3,1,29/09/2009 00:00,29/09/2009 00:00
391,"goalever.com",163,-1,1,1,3799,510366,181639,12/10/2011 00:00,10/08/2013 00:00,"209.59.178.201","209.59.178.0","US","com",22,15,1,07/03/2013 00:00,07/03/2013 00:00
392,"grantsfloorcovering.com",2,-1,1,1,4,111329,111329,20/01/2008 00:00,08/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",0,0,1,24/12/2009 00:00,24/12/2009 00:00
393,"gnomit.com",30,-1,1,1,916,2041865,2041864,03/04/2009 00:00,10/08/2013 00:00,"188.138.104.220","188.138.104.0","DE","com",4,0,1,25/08/2009 00:00,25/08/2009 00:00
394,"ambl.org",1242,-1,1,1,41511,143138,73463,18/06/2008 00:00,10/08/2013 00:00,"74.208.24.175","74.208.24.0","US","org",13,4,1,31/05/2013 00:00,31/05/2013 00:00
395,"4myhometown.com",936,-1,1,1,28979,1947,1866,19/06/2012 00:00,10/08/2013 00:00,"184.168.249.1","184.168.249.0","US","com",21,6,1,25/07/2012 00:00,25/07/2012 00:00
396,"10ninox.com",697,-1,1,1,13129,5299,3295,01/04/2008 00:00,10/08/2013 00:00,"203.158.1.172","203.158.1.0","TH","com",20,12,1,15/06/2012 00:00,15/06/2012 00:00
397,"123worth.com",749,-1,1,1,45538,60816,53191,23/07/2010 00:00,31/07/2013 00:00,"178.79.129.38","178.79.129.0","UK","com",14,4,1,25/01/2011 00:00,25/01/2011 00:00
398,"idwellness.org",937,-1,1,1,57553,17814,13876,03/01/2009 00:00,10/08/2013 00:00,"184.107.190.110","184.107.190.0","CA","org",23,20,1,25/02/2013 00:00,01/05/2013 00:00
399,"gaga-source.com",827,-1,1,1,40623,137894,124761,09/04/2012 00:00,12/06/2013 00:00,"94.23.248.78","94.23.248.0","FR","com",13,16,1,11/07/2012 00:00,07/12/2012 00:00
400,"klnr.org",97,-1,1,1,321,15653,11344,22/06/2008 00:00,04/08/2013 00:00,"66.209.79.122","66.209.79.0","US","org",7,2,1,20/05/2012 00:00,20/05/2012 00:00
401,"alsmatters.org",77,-1,1,1,1821,20276,6370,02/12/2008 00:00,10/08/2013 00:00,"74.52.171.50","74.52.171.0","US","org",14,5,1,30/08/2010 00:00,23/10/2011 00:00
402,"freewebs.com",1010686,-1,1,1,318693826,10625344,2488753,09/01/2008 00:00,10/08/2013 00:00,"75.98.17.24","75.98.17.0","US","com",74,46,1,06/03/2009 00:00,12/02/2013 00:00
403,"greatbritainkingdom.com",1,-1,1,1,1,964518,964517,14/01/2008 00:00,10/08/2013 00:00,"176.74.176.167","176.74.176.0","UK","com",0,0,1,19/02/2009 00:00,19/02/2009 00:00
404,"knprtalk.org",34,-1,1,1,74,2967,2678,06/08/2010 00:00,10/08/2013 00:00,"66.209.79.122","66.209.79.0","US","org",9,19,1,31/05/2012 00:00,24/07/2013 00:00
405,"legal-topics.org",27,-1,1,1,187,212980,158521,30/01/2008 00:00,11/01/2010 00:00,"72.215.225.9","72.215.225.0","US","org",0,0,1,07/04/2009 00:00,07/04/2009 00:00
406,"forumenfes.com",3002,-1,1,1,17912,133451,35508,25/09/2010 00:00,10/03/2013 00:00,"85.17.137.82","85.17.137.0","NL","com",14,1,1,07/08/2012 00:00,07/08/2012 00:00
407,"gustavorojo.com",888,-1,1,1,41477,360047,35681,12/02/2008 00:00,08/08/2013 00:00,"203.183.51.198","203.183.51.0","JP","com",23,13,1,13/04/2011 00:00,26/05/2011 00:00
408,"web3.nl",6313,-1,1,1,406926,340796,118007,14/01/2008 00:00,10/08/2013 00:00,"46.51.195.120","46.51.195.0","IE","nl",38,18,1,16/07/2013 00:00,16/07/2013 00:00
409,"nederland4045.nl",1687,-1,1,1,38834,7002,1395,17/01/2008 00:00,11/02/2012 00:00,"64.13.232.237","64.13.232.0","US","nl",16,22,1,28/01/2012 00:00,28/01/2012 00:00
410,"chinafinder.org",2792,-1,1,1,15428,24907,11478,24/01/2008 00:00,10/08/2013 00:00,"69.89.25.174","69.89.25.0","US","org",14,2,1,09/01/2012 00:00,09/01/2012 00:00
411,"nevadagives.org",246,-1,1,1,863,2015,1559,28/01/2008 00:00,10/08/2013 00:00,"24.120.233.150","24.120.233.0","US","org",12,12,1,25/10/2012 00:00,25/10/2012 00:00
412,"cornmarket.com",12,-1,1,1,6223,758470,758469,17/09/2009 00:00,07/02/2013 00:00,"67.215.66.132","67.215.66.0","US","com",0,0,1,27/10/2010 00:00,27/10/2010 00:00
413,"democratstoday.com",119,-1,1,1,6965,18255,7770,05/03/2008 00:00,17/07/2013 00:00,"184.173.197.253","184.173.197.0","US","com",0,0,1,10/05/2009 00:00,10/05/2009 00:00
414,"bilde-arkiv.com",6161,-1,1,1,34944,37652,20463,01/04/2008 00:00,01/07/2013 00:00,"193.202.110.41","193.202.110.0","DK","com",9,4,1,10/04/2012 00:00,10/04/2012 00:00
415,"i-port.su",2089,-1,1,1,41542,34758,17290,09/02/2009 00:00,10/08/2013 00:00,"193.169.33.254","193.169.33.0","RU","su",12,3,1,25/03/2012 00:00,25/03/2012 00:00
416,"nappo.su",1856,-1,1,1,8621,11683,1938,16/02/2010 00:00,02/10/2012 00:00,"31.31.204.60","31.31.204.0","RU","su",11,4,1,07/08/2012 00:00,07/08/2012 00:00
417,"cichlid.gen.tr",238,-1,1,1,59019,21605,7462,21/10/2009 00:00,31/07/2013 00:00,"37.18.177.131","37.18.177.0","US","tr",12,9,1,25/07/2013 00:00,25/07/2013 00:00
418,"bestgaydvd.com",234,-1,1,1,5437,1110,987,15/11/2011 00:00,10/08/2013 00:00,"184.173.28.165","184.173.28.0","US","com",11,14,1,06/05/2012 00:00,06/05/2012 00:00
