"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_pharmacycompany.com","FirstLinkDate_pharmacycompany.com","LastLinkDate_pharmacycompany.com"
51,"shakhtar.com",20235,73829,1,2,1035232,944482,163043,16/01/2008 00:00,10/08/2013 00:00,"62.149.13.1","62.149.13.0","UA","com",51,53,2,05/08/2012 00:00,05/08/2012 00:00
52,"vegasinc.com",34457,93002,1,2,6730893,57115,48101,13/04/2011 00:00,10/08/2013 00:00,"138.210.151.139","138.210.151.0","US","com",50,42,2,20/05/2013 00:00,23/05/2013 00:00
53,"knpr.org",7367,838266,1,2,2535069,63641,39129,21/01/2008 00:00,10/08/2013 00:00,"66.209.79.122","66.209.79.0","US","org",44,41,2,08/08/2011 00:00,02/06/2013 00:00
54,"nepalitube.com",2024,873185,1,2,100072,4831638,1040270,26/08/2008 00:00,10/08/2013 00:00,"64.150.187.4","64.150.187.0","US","com",25,10,2,02/05/2012 00:00,04/07/2012 00:00
55,"weightlossdallasweightloss.com",663,-1,1,2,13653,17566,13070,13/10/2009 00:00,27/05/2013 00:00,"149.47.132.220","149.47.132.0","US","com",13,3,2,04/07/2012 00:00,04/07/2012 00:00
56,"makemeablogger.com",44605,-1,1,2,1041165,835642,239770,28/11/2008 00:00,10/08/2013 00:00,"67.222.101.40","67.222.101.0","US","com",31,11,2,04/07/2012 00:00,03/08/2012 00:00
57,"medicalmarijuanaidaho.net",139,-1,1,2,1316,4784,4284,26/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",24,2,2,15/05/2013 00:00,22/07/2013 00:00
58,"maxpellblog.com",274,-1,1,2,2949,44143,13992,02/01/2011 00:00,10/08/2013 00:00,"173.201.146.128","173.201.146.0","US","com",23,19,2,15/04/2012 00:00,15/04/2012 00:00
59,"medicalmarijuanamassachusetts.net",111,-1,1,2,315,4112,3696,28/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",19,0,2,28/02/2013 00:00,04/03/2013 00:00
60,"antrimtown.com",25,-1,1,2,48,868829,868828,27/09/2009 00:00,22/07/2013 00:00,"82.98.86.174","82.98.86.0","DE","com",0,0,2,29/04/2010 00:00,29/04/2010 00:00
61,"tuninghell.com",5173,-1,1,2,47131,418394,100703,09/07/2010 00:00,10/08/2013 00:00,"176.9.23.121","176.9.23.0","DE","com",43,6,2,15/08/2012 00:00,15/08/2012 00:00
62,"adult-psp.com",963,-1,1,2,18970,53859,39899,07/03/2008 00:00,10/08/2013 00:00,"66.254.117.17","66.254.117.0","US","com",26,8,2,24/07/2012 00:00,24/07/2012 00:00
63,"web3.nl",6313,-1,1,2,406926,340796,118007,14/01/2008 00:00,10/08/2013 00:00,"46.51.195.120","46.51.195.0","IE","nl",38,18,2,24/04/2012 00:00,15/07/2013 00:00
64,"thuwal-net.com",2038,-1,1,2,37100,156935,57721,22/10/2008 00:00,10/08/2013 00:00,"173.193.192.33","173.193.192.0","US","com",27,5,2,15/05/2013 00:00,24/05/2013 00:00
65,"adultchatbbs.com",720,-1,1,2,80374,86305,55987,21/12/2011 00:00,10/08/2013 00:00,"108.170.23.218","108.170.23.0","US","com",9,4,2,18/03/2013 00:00,04/08/2013 00:00
66,"boatyard.ru",7033,-1,1,2,173747,147760,56610,20/01/2008 00:00,29/09/2012 00:00,"67.215.66.132","67.215.66.0","US","ru",14,14,2,24/07/2012 00:00,01/08/2012 00:00
67,"allcanadalinks.com",155,-1,1,2,287713,828768,88211,09/01/2008 00:00,25/07/2013 00:00,"184.173.192.227","184.173.192.0","US","com",9,8,2,01/08/2012 00:00,01/08/2012 00:00
68,"propertybrighton.com",15,-1,1,2,24,551787,551787,29/09/2008 00:00,28/12/2012 00:00,"82.98.86.172","82.98.86.0","DE","com",0,0,2,15/10/2010 00:00,15/10/2010 00:00
69,"allyourlinks.com",194,-1,1,2,364055,1161158,124229,13/01/2008 00:00,24/07/2013 00:00,"184.173.192.227","184.173.192.0","US","com",9,8,2,05/07/2012 00:00,05/07/2012 00:00
70,"medicalmarijuanavirginia.net",49,-1,1,2,514,3954,3692,26/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",15,0,2,17/04/2013 00:00,31/07/2013 00:00
71,"ressidan.com",2077,-1,1,2,13243,111901,43261,05/02/2008 00:00,10/08/2013 00:00,"46.30.211.51","46.30.211.0","DK","com",32,8,2,31/07/2012 00:00,09/08/2013 00:00
72,"mygaydvd.com",102,-1,1,2,4749,1285,1107,20/10/2011 00:00,10/08/2013 00:00,"184.173.28.165","184.173.28.0","US","com",16,1,2,21/04/2012 00:00,11/07/2012 00:00
73,"partners4results.org",635,-1,1,2,78712,8268,4243,27/08/2008 00:00,10/08/2013 00:00,"96.30.242.78","96.30.242.0","US","org",15,16,2,03/04/2012 00:00,21/07/2012 00:00
74,"hqsocken.de",1929,-1,1,2,11350,44809,24203,13/07/2008 00:00,18/07/2013 00:00,"87.238.192.101","87.238.192.0","DE","de",13,2,2,26/07/2012 00:00,22/12/2012 00:00
75,"mufcsearch.co.uk",19,-1,1,2,23,464084,464083,28/02/2010 00:00,17/01/2013 00:00,"91.210.235.70","91.210.235.0","IE","uk",0,0,2,11/05/2012 00:00,11/05/2012 00:00
76,"dublinproperties.com",13,-1,1,2,1626,1028468,1028468,01/05/2009 00:00,12/02/2013 00:00,"82.98.86.169","82.98.86.0","DE","com",0,0,2,25/02/2010 00:00,25/02/2010 00:00
77,"etf-trend.com",688,-1,1,2,14661,111684,18149,22/12/2011 00:00,10/08/2013 00:00,"67.231.240.66","67.231.240.0","US","com",25,1,2,14/06/2012 00:00,04/07/2012 00:00
78,"heritagedental.info",36,-1,1,2,801,257,213,28/04/2011 00:00,10/08/2013 00:00,"74.220.219.132","74.220.219.0","US","info",11,2,2,08/04/2013 00:00,15/07/2013 00:00
79,"flexfinder.com",2309,-1,1,2,9023,1896499,189389,07/02/2008 00:00,09/01/2013 00:00,"67.215.66.132","67.215.66.0","US","com",12,25,2,02/10/2010 00:00,02/10/2010 00:00
80,"medicalmarijuanawisconsin.org",355,-1,1,2,3361,8711,4318,22/10/2010 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",25,0,2,04/05/2013 00:00,17/07/2013 00:00
