"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_autoshop.com","FirstLinkDate_autoshop.com","LastLinkDate_autoshop.com"
30,"badboysoftware.biz",44055,172540,1,8,701902,606946,151882,17/11/2008 00:00,10/08/2013 00:00,"182.50.148.128","182.50.148.0","SG","biz",44,25,8,08/05/2012 00:00,16/11/2012 00:00
31,"wildhogs.se",130,-1,1,8,23864,2225,1793,15/06/2012 00:00,10/08/2013 00:00,"46.30.211.53","46.30.211.0","DK","se",21,2,8,26/02/2013 00:00,08/08/2013 00:00
32,"medicalmarijuanalouisiana.net",46,-1,1,8,246,4614,4246,28/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",15,0,8,23/02/2013 00:00,01/08/2013 00:00
33,"wearelv.com",218,-1,1,8,3122,1055,596,03/09/2008 00:00,08/08/2013 00:00,"67.72.16.137","67.72.16.0","US","com",19,23,8,25/08/2010 00:00,25/08/2010 00:00
34,"thestatedtruth.com",11307,837392,1,7,225358,75558,53300,02/01/2010 00:00,10/08/2013 00:00,"184.168.58.1","184.168.58.0","US","com",45,5,7,10/04/2012 00:00,10/04/2012 00:00
35,"medicalmarijuananebraska.net",140,-1,1,7,1231,5395,4821,26/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",22,2,7,26/02/2013 00:00,24/07/2013 00:00
36,"taze.us",301,-1,1,7,2726,3267,1368,18/08/2010 00:00,10/08/2013 00:00,"173.236.128.85","173.236.128.0","US","us",19,2,7,30/04/2012 00:00,04/07/2012 00:00
37,"medicalmarijuanaindiana.org",58,-1,1,7,460,4134,3569,19/06/2012 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",17,2,7,13/03/2013 00:00,09/08/2013 00:00
38,"medicalmarijuanaconnecticut.net",33,-1,1,7,269,3623,3346,26/02/2013 00:00,01/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",11,0,7,26/02/2013 00:00,01/08/2013 00:00
39,"maxpellblog.com",274,-1,1,7,2949,44143,13992,02/01/2011 00:00,10/08/2013 00:00,"173.201.146.128","173.201.146.0","US","com",23,19,7,03/05/2012 00:00,10/05/2012 00:00
40,"alpvideo.ru",322,-1,1,7,8816,46144,33601,13/02/2009 00:00,10/08/2013 00:00,"188.128.85.11","188.128.85.0","RU","ru",13,13,7,20/04/2012 00:00,20/04/2012 00:00
41,"medicalmarijuanaoklahoma.org",45,-1,1,7,24438,3706,3413,29/05/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",13,0,7,24/02/2013 00:00,12/07/2013 00:00
42,"cumshotbestpics.com",1886,-1,1,7,48967,5700,3341,04/02/2008 00:00,10/08/2013 00:00,"208.94.232.213","208.94.232.0","US","com",21,3,7,02/05/2012 00:00,20/07/2012 00:00
43,"frankvandervorm.nl",9574,-1,1,6,68200,148322,85587,04/12/2008 00:00,28/06/2013 00:00,"188.93.150.34","188.93.150.0","NL","nl",21,5,6,03/03/2013 00:00,07/05/2013 00:00
44,"opinemosf1.es",3754,-1,1,6,20656,118899,60266,04/05/2010 00:00,19/07/2013 00:00,"87.106.187.82","87.106.187.0","DE","es",17,4,6,29/04/2012 00:00,10/07/2012 00:00
45,"moo-vees.co.uk",1037,-1,1,6,11123,22154,20757,19/06/2012 00:00,10/08/2013 00:00,"88.208.238.174","88.208.238.0","UK","uk",28,5,6,12/07/2013 00:00,12/07/2013 00:00
46,"medicalmarijuanamassachusetts.net",111,-1,1,6,315,4112,3696,28/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",19,0,6,23/02/2013 00:00,09/08/2013 00:00
47,"eviltowmater.com",2,-1,1,6,6,13,7,01/07/2013 00:00,15/07/2013 00:00,"209.157.71.206","209.157.71.0","US","com",8,0,6,18/02/2013 00:00,01/07/2013 00:00
48,"actautostaffing.com",2159,-1,1,6,1666333,273813,130275,12/01/2008 00:00,10/08/2013 00:00,"66.77.185.150","66.77.185.0","US","com",28,24,6,27/02/2013 00:00,27/02/2013 00:00
