"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_sushirestaurant.com","FirstLinkDate_sushirestaurant.com","LastLinkDate_sushirestaurant.com"
127,"10best.com",29820,51476,1,4,10543551,23104057,1827494,09/01/2008 00:00,10/08/2013 00:00,"195.159.219.10","195.159.219.0","NO","com",52,44,4,26/08/2008 00:00,26/08/2008 00:00
128,"tugbbs.com",4410,65723,1,4,451785,4707845,635160,09/01/2008 00:00,10/08/2013 00:00,"69.16.236.4","69.16.236.0","US","com",34,44,4,24/08/2008 00:00,24/08/2008 00:00
129,"nileguide.com",23365,67708,1,4,6290203,2679330,954941,03/08/2008 00:00,10/08/2013 00:00,"65.49.51.10","65.49.51.0","US","com",50,32,4,24/10/2009 00:00,16/11/2009 00:00
130,"indexsite.org",405,73499,1,4,22022,108997,67461,26/02/2008 00:00,10/08/2013 00:00,"108.162.197.212","108.162.197.0","US","org",20,5,4,31/12/2011 00:00,31/12/2011 00:00
131,"kolotv.com",46784,142809,1,4,862597,26248383,1495819,13/01/2008 00:00,10/08/2013 00:00,"208.111.129.197","208.111.129.0","US","com",42,47,4,17/06/2012 00:00,17/06/2012 00:00
132,"turnto23.com",42221,152416,1,4,800376,19894620,1416301,09/01/2008 00:00,10/08/2013 00:00,"23.15.7.130","23.15.7.0","US","com",49,36,4,12/09/2010 00:00,12/09/2010 00:00
133,"nelso.com",2783,182959,1,4,4618262,1758630,803140,17/02/2008 00:00,10/08/2013 00:00,"75.101.152.240","75.101.152.0","US","com",20,21,4,15/07/2009 00:00,15/07/2009 00:00
134,"shopping5.com",6034,247005,1,4,1935284,104169,84202,11/01/2008 00:00,31/07/2013 00:00,"184.173.205.104","184.173.205.0","US","com",25,27,4,31/07/2008 00:00,31/07/2008 00:00
135,"allvegaspoker.com",5594,250040,1,4,71963,382145,217402,17/01/2008 00:00,10/08/2013 00:00,"173.255.253.220","173.255.253.0","US","com",39,29,4,02/06/2013 00:00,02/06/2013 00:00
136,"diningguide.com",14790,270188,1,4,1793749,690175,407914,09/01/2008 00:00,10/08/2013 00:00,"64.135.68.126","64.135.68.0","US","com",53,35,4,15/05/2013 00:00,07/08/2013 00:00
137,"msnbusinessdirectory.com",937,283323,1,4,1561362,72685,44039,14/03/2010 00:00,10/08/2013 00:00,"174.122.30.139","174.122.30.0","US","com",34,23,4,05/06/2013 00:00,06/07/2013 00:00
138,"menupalace.com",9115,332863,1,4,668913,85740,72310,09/01/2008 00:00,10/08/2013 00:00,"72.32.30.146","72.32.30.0","US","com",45,45,4,06/02/2008 00:00,08/07/2013 00:00
139,"ramshackleglam.com",1983,395419,1,4,167015,35305,24646,28/05/2010 00:00,10/08/2013 00:00,"184.168.205.1","184.168.205.0","US","com",35,31,4,24/08/2010 00:00,24/08/2010 00:00
140,"vegasmagazine.com",3217,556383,1,4,360378,12544,9426,18/01/2008 00:00,10/08/2013 00:00,"199.91.169.140","199.91.169.0","US","com",41,44,4,14/01/2013 00:00,24/01/2013 00:00
141,"vegasplaydate.com",302,606255,1,4,1714,69428,53840,05/01/2012 00:00,31/07/2013 00:00,"108.167.136.127","108.167.136.0","US","com",22,11,4,18/03/2013 00:00,06/07/2013 00:00
142,"nevadamagazine.com",4916,743298,1,4,82589,415676,169070,31/01/2008 00:00,10/08/2013 00:00,"199.167.72.82","199.167.72.0","US","com",39,45,4,30/05/2009 00:00,27/01/2013 00:00
143,"tahlequahdailypress.com",20520,980946,1,4,684734,18918742,1459499,17/01/2008 00:00,10/08/2013 00:00,"74.84.203.168","74.84.203.0","US","com",40,44,4,13/09/2010 00:00,13/09/2010 00:00
144,"hotelcontactnumber.com",4,-1,1,4,22,10028,7937,10/05/2013 00:00,01/08/2013 00:00,"","","","com",0,0,4,10/05/2013 00:00,07/06/2013 00:00
145,"guidefood.com",632,-1,1,4,6222,8533,7398,12/01/2008 00:00,31/07/2013 00:00,"74.53.104.178","74.53.104.0","US","com",17,11,4,02/11/2008 00:00,15/01/2012 00:00
146,"downselot.com",4046,-1,1,4,184446,2477553,742941,08/05/2009 00:00,28/06/2013 00:00,"188.92.75.58","188.92.75.0","LV","com",17,13,4,03/02/2010 00:00,20/08/2012 00:00
147,"mpcsol.com",1818,-1,1,4,343732,3280805,1143529,09/01/2008 00:00,10/08/2013 00:00,"72.29.73.35","72.29.73.0","US","com",26,24,4,05/07/2009 00:00,05/07/2009 00:00
148,"greatnevada.com",969,-1,1,4,17174,18018,11729,11/01/2008 00:00,09/08/2013 00:00,"199.85.212.87","199.85.212.0","US","com",23,16,4,15/06/2008 00:00,22/11/2008 00:00
149,"telephoneguide.com",2844,-1,1,4,30093,22023,18314,13/01/2008 00:00,03/02/2011 00:00,"68.178.254.187","68.178.254.0","US","com",13,13,4,12/05/2009 00:00,01/01/2011 00:00
150,"restaurantpage.com",1266,-1,1,4,373679,232248,52754,10/01/2008 00:00,30/07/2013 00:00,"174.120.195.221","174.120.195.0","US","com",19,18,4,17/01/2008 00:00,17/01/2008 00:00
151,"vegascitypage.com",66,-1,1,4,44652,1282,1079,15/10/2011 00:00,27/07/2013 00:00,"108.167.136.127","108.167.136.0","US","com",25,3,4,08/08/2012 00:00,03/07/2013 00:00
152,"local1020.com",0,-1,1,4,0,38213,38212,12/03/2013 00:00,05/08/2013 00:00,"68.71.252.162","68.71.252.0","US","com",0,0,4,03/04/2013 00:00,04/04/2013 00:00
153,"westvegas.com",1233,-1,1,4,5969,832,380,12/02/2008 00:00,10/08/2013 00:00,"199.204.248.103","199.204.248.0","US","com",13,10,4,22/02/2008 00:00,24/06/2013 00:00
154,"lasvegasbistros.com",751,-1,1,4,1781,560,401,19/11/2009 00:00,27/07/2013 00:00,"50.63.202.42","50.63.202.0","US","com",0,0,4,28/01/2011 00:00,21/02/2012 00:00
155,"tahoe-world.com",2909,-1,1,4,27162,18485528,1381611,10/01/2008 00:00,10/08/2013 00:00,"65.164.25.29","65.164.25.0","US","com",15,14,4,15/09/2010 00:00,15/09/2010 00:00
156,"ferommok.com",4564,-1,1,4,90885,3200652,686859,08/05/2009 00:00,12/02/2013 00:00,"188.92.75.59","188.92.75.0","LV","com",18,7,4,12/12/2009 00:00,07/07/2012 00:00
157,"lasvegashotelsmotels.com",24,-1,1,4,150,1191,921,11/02/2008 00:00,26/06/2013 00:00,"50.63.202.54","50.63.202.0","US","com",6,3,4,30/06/2008 00:00,11/11/2011 00:00
158,"frestres.com",3735,-1,1,4,378570,1124382,385845,17/07/2009 00:00,24/07/2013 00:00,"188.92.75.61","188.92.75.0","LV","com",17,4,4,12/12/2009 00:00,19/10/2012 00:00
159,"raynesroom.com",96,-1,1,4,376,56,17,22/07/2008 00:00,07/08/2013 00:00,"72.29.75.119","72.29.75.0","US","com",6,1,4,03/04/2008 00:00,03/04/2008 00:00
160,"qmato.com",289,-1,1,4,74851,1379094,156819,26/03/2012 00:00,10/08/2013 00:00,"173.255.237.38","173.255.237.0","US","com",38,19,4,08/04/2012 00:00,09/01/2013 00:00
161,"noizemag.com",1569,-1,1,4,44142,692217,327490,14/03/2008 00:00,10/08/2013 00:00,"50.19.243.131","50.19.243.0","US","com",37,22,4,26/02/2011 00:00,29/03/2011 00:00
162,"threeoclockclub.com",32,-1,1,4,250,1117,959,28/05/2010 00:00,10/08/2013 00:00,"205.186.131.198","205.186.131.0","US","com",10,0,4,13/12/2010 00:00,06/01/2011 00:00
163,"discoverlasvegasnv.com",7,-1,1,4,7056,237,236,01/07/2013 00:00,10/08/2013 00:00,"108.60.10.189","108.60.10.0","CA","com",15,0,4,01/03/2013 00:00,02/07/2013 00:00
164,"americankenpoconceptsnevada.com",39,-1,1,4,159,65,61,14/05/2010 00:00,17/07/2013 00:00,"98.138.19.88","98.138.19.0","US","com",5,1,4,30/12/2010 00:00,07/11/2012 00:00
165,"kunv.org",260,-1,1,4,25361,503,188,07/11/2008 00:00,10/08/2013 00:00,"131.216.6.201","131.216.6.0","US","org",23,28,4,12/02/2013 00:00,19/02/2013 00:00
166,"vegas-infos.de",2649,-1,1,4,1517462,797344,379366,10/01/2008 00:00,10/08/2013 00:00,"93.190.64.23","93.190.64.0","DE","de",27,20,4,23/08/2008 00:00,23/08/2008 00:00
167,"directoryrestaurant.com",1225,-1,1,4,6066,101549,52059,18/01/2008 00:00,10/08/2013 00:00,"66.96.160.140","66.96.160.0","US","com",24,17,4,11/05/2008 00:00,11/05/2008 00:00
168,"filetone.co.cc",204,-1,1,4,527,1709,833,31/10/2010 00:00,18/10/2012 00:00,"77.67.81.18","77.67.81.0","US","cc",7,1,4,31/10/2010 00:00,31/10/2010 00:00
169,"directoryofhenderson.com",190,-1,1,4,1018,11683,8850,11/10/2009 00:00,10/02/2013 00:00,"62.157.140.133","62.157.140.0","DE","com",7,0,4,23/04/2011 00:00,15/08/2012 00:00
170,"zipmouse.com",1217,-1,1,4,4111,1120,1001,16/02/2008 00:00,10/08/2013 00:00,"98.129.229.19","98.129.229.0","US","com",18,13,4,03/04/2008 00:00,03/04/2008 00:00
171,"afttc.com",157,-1,1,4,1094,1459,469,24/01/2008 00:00,10/08/2013 00:00,"72.167.9.252","72.167.9.0","US","com",19,11,4,24/01/2008 00:00,24/01/2008 00:00
172,"aerotechnews.com",5836,-1,1,4,240175,21164596,1446960,10/01/2008 00:00,10/07/2013 00:00,"98.129.229.53","98.129.229.0","US","com",22,34,4,25/05/2011 00:00,25/05/2011 00:00
173,"local.com",106219,1554,1,3,4523176592,615023688,3184598,09/01/2008 00:00,10/08/2013 00:00,"93.184.219.20","93.184.219.0","US","com",59,55,3,09/10/2012 00:00,16/05/2013 00:00
174,"restaurant.com",40044,5974,1,3,4074574,2935381,556802,09/01/2008 00:00,10/08/2013 00:00,"157.55.212.18","157.55.212.0","US","com",53,62,3,04/05/2008 00:00,04/05/2008 00:00
175,"theeroticreview.com",31450,7284,1,3,5773510,7989200,1476216,09/01/2008 00:00,10/08/2013 00:00,"82.199.87.205","82.199.87.0","NL","com",50,22,3,20/09/2011 00:00,20/09/2011 00:00
176,"domainprcheck.com",733,19283,1,3,238728,12393,6406,04/11/2011 00:00,10/08/2013 00:00,"108.163.179.38","108.163.179.0","CA","com",26,17,3,09/06/2013 00:00,09/06/2013 00:00
177,"yokimono.com",329,36216,1,3,36552,1989,1527,18/02/2008 00:00,10/08/2013 00:00,"108.162.198.188","108.162.198.0","US","com",20,24,3,23/07/2013 00:00,23/07/2013 00:00
178,"yasabe.com",4888,43384,1,3,1639978,8537830,346989,27/03/2011 00:00,10/08/2013 00:00,"216.33.125.235","216.33.125.0","US","com",47,45,3,20/05/2013 00:00,10/07/2013 00:00
179,"listofdomains.org",51,103503,1,3,583,11722,10384,21/01/2013 00:00,10/08/2013 00:00,"108.167.179.73","108.167.179.0","US","org",11,10,3,16/06/2013 00:00,27/06/2013 00:00
180,"blissfulanddomestic.com",926,112894,1,3,73939,23170,6303,11/06/2012 00:00,10/08/2013 00:00,"74.125.141.121","74.125.141.0","US","com",31,20,3,14/07/2013 00:00,18/07/2013 00:00
181,"tahoedailytribune.com",35791,156313,1,3,5034862,24068843,1763261,10/01/2008 00:00,10/08/2013 00:00,"64.94.90.94","64.94.90.0","US","com",44,47,3,07/08/2010 00:00,07/08/2010 00:00
182,"4seeking.com",3643,199375,1,3,787527,3573082,780967,18/01/2008 00:00,06/06/2013 00:00,"209.105.242.151","209.105.242.0","US","com",25,27,3,28/11/2010 00:00,28/11/2010 00:00
183,"tecnolite.com.mx",326,228841,1,3,71535,889524,50699,07/06/2008 00:00,10/08/2013 00:00,"72.167.45.139","72.167.45.0","US","mx",35,13,3,21/06/2009 00:00,21/06/2009 00:00
184,"findtail.com",494,231731,1,3,11189,6119065,670388,02/08/2009 00:00,10/08/2013 00:00,"50.116.102.122","50.116.102.0","US","com",15,4,3,30/07/2012 00:00,17/10/2012 00:00
185,"dopplr.com",23038,298520,1,3,6505710,3994258,1189983,23/01/2008 00:00,10/08/2013 00:00,"89.16.190.254","89.16.190.0","UK","com",47,44,3,18/05/2009 00:00,05/11/2011 00:00
186,"directoryb2b.com",4410,400601,1,3,27503,917826,239109,09/01/2008 00:00,30/07/2013 00:00,"184.173.205.104","184.173.205.0","US","com",24,24,3,06/10/2008 00:00,26/10/2008 00:00
187,"bigfinder.de",12138,428763,1,3,1869979,113498,72123,26/01/2008 00:00,10/08/2013 00:00,"83.133.125.202","83.133.125.0","DE","de",27,14,3,31/12/2011 00:00,31/12/2011 00:00
188,"searchmonster.org",10391,434844,1,3,710615,1052878,294426,21/01/2008 00:00,07/08/2013 00:00,"64.150.187.164","64.150.187.0","US","org",53,29,3,09/05/2011 00:00,04/07/2012 00:00
189,"firetide.com",2691,497941,1,3,41485,5950,4314,02/04/2008 00:00,10/08/2013 00:00,"204.50.56.163","204.50.56.0","CA","com",34,30,3,16/08/2011 00:00,09/11/2012 00:00
190,"youhow.net",2296,509676,1,3,109887,17157105,1604099,08/09/2008 00:00,10/08/2013 00:00,"120.92.246.131","120.92.246.0","CN","net",13,8,3,21/08/2010 00:00,28/07/2012 00:00
191,"tripwhat.com",202,551442,1,3,3039,86227,61385,22/03/2013 00:00,10/08/2013 00:00,"204.236.226.227","204.236.226.0","US","com",9,8,3,06/04/2013 00:00,06/04/2013 00:00
192,"outtraveler.com",7750,654084,1,3,990469,1752869,152174,25/01/2008 00:00,09/08/2013 00:00,"66.29.210.28","66.29.210.0","US","com",28,42,3,06/09/2008 00:00,05/10/2008 00:00
193,"21sns.com",4679,818864,1,3,17029,1805015,219760,16/12/2010 00:00,10/08/2013 00:00,"69.167.150.46","69.167.150.0","US","com",20,13,3,04/07/2012 00:00,04/07/2012 00:00
194,"webmii.co.uk",14,998845,1,3,40631,579061,579060,09/12/2009 00:00,10/08/2013 00:00,"195.95.224.130","195.95.224.0","FR","uk",4,0,3,05/05/2010 00:00,09/05/2012 00:00
195,"catustin.com",13,-1,1,3,69,29048,23790,09/03/2013 00:00,10/08/2013 00:00,"68.178.254.3","68.178.254.0","US","com",22,0,3,07/07/2013 00:00,07/07/2013 00:00
196,"pugfound.com",1134,-1,1,3,2352,121,105,04/02/2008 00:00,10/08/2013 00:00,"64.136.20.56","64.136.20.0","US","com",14,8,3,09/02/2008 00:00,17/01/2013 00:00
197,"gayslideshowsuk.com",0,-1,1,3,0,12945,12945,22/11/2009 00:00,26/05/2013 00:00,"77.92.82.70","77.92.82.0","UK","com",0,0,3,11/03/2013 00:00,11/03/2013 00:00
198,"kevins.nl",5,-1,1,3,17,386207,386207,14/06/2010 00:00,10/08/2013 00:00,"87.253.134.190","87.253.134.0","NL","nl",0,0,3,20/08/2010 00:00,08/05/2012 00:00
199,"blikkasm.com",4110,-1,1,3,103718,1588558,589531,12/04/2009 00:00,08/08/2013 00:00,"94.242.206.203","94.242.206.0","LU","com",18,13,3,04/03/2010 00:00,16/03/2010 00:00
200,"kccommunitynews.com",9674,-1,1,3,650115,252383,130049,11/01/2008 00:00,10/08/2013 00:00,"174.120.129.58","174.120.129.0","US","com",26,24,3,29/03/2013 00:00,14/07/2013 00:00
201,"lvteetimes.com",606,-1,1,3,26975,446,411,04/08/2008 00:00,10/08/2013 00:00,"66.186.20.177","66.186.20.0","US","com",22,18,3,26/09/2009 00:00,15/10/2011 00:00
202,"manley.com",1143,-1,1,3,14480,2604,1538,08/06/2010 00:00,10/08/2013 00:00,"209.217.249.104","209.217.249.0","US","com",34,23,3,28/05/2010 00:00,11/06/2013 00:00
203,"mapleheightspress.com",1346,-1,1,3,69736,8511688,847287,06/02/2008 00:00,10/08/2013 00:00,"98.103.35.29","98.103.35.0","US","com",12,16,3,11/11/2010 00:00,11/11/2010 00:00
204,"mauibeachcondosbyowner.com",0,-1,1,3,0,364938,364937,27/11/2009 00:00,25/09/2010 00:00,"204.13.162.116","204.13.162.0","US","com",0,0,3,15/05/2010 00:00,15/05/2010 00:00
205,"modelkot.com",4194,-1,1,3,189337,2345550,635328,10/06/2009 00:00,26/06/2013 00:00,"188.92.75.57","188.92.75.0","LV","com",17,8,3,27/05/2010 00:00,18/11/2011 00:00
206,"aboutrestaurant.com",630,-1,1,3,3940226,33966,27667,21/03/2008 00:00,28/07/2013 00:00,"67.18.16.50","67.18.16.0","US","com",22,15,3,16/02/2013 00:00,16/02/2013 00:00
207,"pchouseproductions.com",230,-1,1,3,26728,590,467,16/01/2008 00:00,29/07/2013 00:00,"50.116.95.158","50.116.95.0","US","com",16,18,3,13/03/2008 00:00,11/07/2012 00:00
208,"gfactorproductions.net",23,-1,1,3,62,83,78,05/05/2011 00:00,10/08/2013 00:00,"210.172.144.24","210.172.144.0","JP","net",8,3,3,31/03/2011 00:00,18/01/2013 00:00
209,"vegassearch.com",77,-1,1,3,614,1308936,552717,08/04/2008 00:00,15/07/2013 00:00,"67.23.238.216","67.23.238.0","US","com",8,9,3,10/01/2008 00:00,06/02/2008 00:00
210,"lasvegas-bestdeals.com",325,-1,1,3,1000149,800493,74268,09/01/2008 00:00,29/12/2012 00:00,"199.101.28.20","199.101.28.0","US","com",8,2,3,27/09/2009 00:00,10/01/2010 00:00
211,"vegasadvantagecard.com",117,-1,1,3,817,142,123,15/08/2012 00:00,09/08/2013 00:00,"74.55.12.90","74.55.12.0","US","com",10,3,3,18/04/2011 00:00,09/08/2012 00:00
212,"lasvegasrestaurant.us",614,-1,1,3,40808,205036,85711,27/01/2008 00:00,01/07/2013 00:00,"204.15.199.130","204.15.199.0","CA","us",6,0,3,12/12/2011 00:00,12/12/2011 00:00
213,"theham.net",2,-1,1,3,7,459210,459210,25/01/2008 00:00,10/08/2013 00:00,"74.84.203.173","74.84.203.0","US","net",0,0,3,09/11/2010 00:00,09/11/2010 00:00
214,"uwooed.com",85,-1,1,3,17296,17975,16581,16/01/2012 00:00,10/08/2013 00:00,"72.167.131.100","72.167.131.0","US","com",19,0,3,27/02/2013 00:00,06/07/2013 00:00
215,"lasvegasab.com",366,-1,1,3,1350,4569,2247,22/01/2008 00:00,27/07/2013 00:00,"69.43.161.172","69.43.161.0","US","com",15,10,3,22/01/2008 00:00,22/01/2008 00:00
216,"travelarticleaday.com",151,-1,1,3,2761,833,619,31/08/2009 00:00,27/07/2013 00:00,"184.173.206.131","184.173.206.0","US","com",8,8,3,24/10/2012 00:00,15/07/2013 00:00
217,"ypj.com",2369,-1,1,3,251722,38256,25246,12/01/2008 00:00,10/08/2013 00:00,"202.218.32.16","202.218.32.0","JP","com",31,22,3,13/10/2011 00:00,08/07/2013 00:00
218,"dotnight.com",166,-1,1,3,1723,135582,99704,07/02/2008 00:00,31/07/2013 00:00,"74.52.59.130","74.52.59.0","US","com",11,13,3,29/06/2008 00:00,29/06/2008 00:00
219,"whenugo.com",658,-1,1,3,241182,97377,44659,25/03/2009 00:00,10/08/2013 00:00,"209.41.181.37","209.41.181.0","US","com",18,30,3,25/05/2013 00:00,25/05/2013 00:00
220,"desertcompanion.com",352,-1,1,3,300018,4783,3570,25/10/2011 00:00,10/08/2013 00:00,"66.209.79.122","66.209.79.0","US","com",32,31,3,12/08/2011 00:00,04/06/2013 00:00
221,"elcoes.com",12643,-1,1,3,722335,7636950,1238244,14/11/2008 00:00,05/06/2013 00:00,"188.92.75.56","188.92.75.0","LV","com",21,13,3,09/07/2011 00:00,30/10/2012 00:00
222,"desbrossaments.com",148,-1,1,3,2407,29353,25806,23/01/2008 00:00,10/08/2013 00:00,"92.43.17.6","92.43.17.0","ES","com",10,2,3,08/05/2009 00:00,29/07/2009 00:00
223,"searchfood.info",259,-1,1,3,1696,56609,24363,29/01/2009 00:00,10/08/2013 00:00,"184.168.221.96","184.168.221.0","US","info",10,7,3,18/01/2011 00:00,12/10/2011 00:00
224,"teradex.com",1998,-1,1,3,2157420,3653601,766525,09/01/2008 00:00,08/08/2013 00:00,"65.110.6.90","65.110.6.0","CA","com",22,15,3,12/01/2008 00:00,12/01/2008 00:00
225,"tellyhead.com",0,-1,1,3,0,219722,219722,09/08/2008 00:00,09/08/2013 00:00,"184.168.221.63","184.168.221.0","US","com",0,0,3,05/07/2009 00:00,05/07/2009 00:00
226,"deefordentist.com",11,-1,1,3,51,1034,822,23/02/2013 00:00,10/08/2013 00:00,"66.96.132.66","66.96.132.0","US","com",9,3,3,04/05/2013 00:00,18/07/2013 00:00
227,"sushinomads.com",187,-1,1,3,2825,9523,6808,05/01/2010 00:00,10/08/2013 00:00,"67.214.211.50","67.214.211.0","US","com",18,6,3,13/06/2012 00:00,13/06/2012 00:00
228,"statsdaemon.com",6628,-1,1,3,326997,3672378,762193,19/06/2009 00:00,23/07/2013 00:00,"188.92.75.58","188.92.75.0","LV","com",18,5,3,04/11/2009 00:00,17/11/2012 00:00
229,"aol.com",1590845,67,1,2,2056211788,111396750,5202604,09/01/2008 00:00,10/08/2013 00:00,"205.188.19.16","205.188.19.0","US","com",92,91,2,10/08/2008 00:00,10/08/2008 00:00
230,"blogspot.de",341598,619,1,2,130372053,341511839,52483958,14/09/2009 00:00,10/08/2013 00:00,"173.194.70.191","173.194.70.0","US","de",67,57,2,21/10/2012 00:00,03/05/2013 00:00
231,"feedburner.com",2655894,833,1,2,8364787334,293875507,23259771,09/01/2008 00:00,10/08/2013 00:00,"74.125.225.128","74.125.225.0","US","com",92,91,2,30/03/2012 00:00,27/08/2012 00:00
232,"dmoz.org",569403,1059,1,2,1094375544,55944258,3010654,09/01/2008 00:00,10/08/2013 00:00,"205.188.87.207","205.188.87.0","US","org",79,82,2,10/05/2008 00:00,26/09/2010 00:00
233,"cox.net",7051525,1216,1,2,76253240,21930211,630607,09/01/2008 00:00,10/08/2013 00:00,"68.99.123.161","68.99.123.0","US","net",48,42,2,25/02/2008 00:00,05/12/2011 00:00
234,"virginmedia.com",25908038,1313,1,2,150007781,86583379,17122790,09/01/2008 00:00,10/08/2013 00:00,"212.250.162.12","212.250.162.0","UK","com",64,61,2,06/01/2010 00:00,12/04/2010 00:00
235,"fodors.com",106920,5912,1,2,6783316,4081963,1326797,09/01/2008 00:00,10/08/2013 00:00,"170.171.208.125","170.171.208.0","US","com",60,70,2,26/04/2010 00:00,08/02/2013 00:00
236,"crawler.com",17425,15565,1,2,8806621,9015789,1737649,09/01/2008 00:00,10/08/2013 00:00,"64.135.77.50","64.135.77.0","US","com",40,36,2,06/11/2010 00:00,25/09/2012 00:00
237,"elitesitesdirectory.com",3396,19127,1,2,169697,1859,1471,21/01/2008 00:00,10/08/2013 00:00,"54.243.106.123","54.243.106.0","US","com",39,30,2,21/12/2012 00:00,21/12/2012 00:00
238,"travbuddy.com",36074,21976,1,2,2322007,8996662,1809294,09/01/2008 00:00,10/08/2013 00:00,"54.244.230.217","54.244.230.0","US","com",48,56,2,09/10/2009 00:00,20/01/2013 00:00
239,"betterseodirectory.com",1124,28117,1,2,116213,136630,94416,02/05/2011 00:00,10/08/2013 00:00,"66.147.240.185","66.147.240.0","US","com",19,12,2,22/04/2013 00:00,22/04/2013 00:00
240,"unlv.edu",78433,36874,1,2,4116432,994445,383903,25/01/2008 00:00,10/08/2013 00:00,"131.216.119.250","131.216.119.0","US","edu",56,66,2,12/02/2008 00:00,15/01/2013 00:00
241,"thinklocal.com",9765,45554,1,2,603141,5806935,1593187,10/01/2008 00:00,10/08/2013 00:00,"205.178.190.95","205.178.190.0","US","com",38,21,2,22/04/2013 00:00,12/07/2013 00:00
242,"bestsearching.com",920,77636,1,2,20459,6450088,714331,13/03/2008 00:00,08/08/2013 00:00,"64.99.64.37","64.99.64.0","CA","com",15,6,2,22/08/2010 00:00,19/01/2012 00:00
243,"hauteliving.com",21719,88086,1,2,514889,1036078,321322,04/02/2008 00:00,10/08/2013 00:00,"4.31.168.146","4.31.168.0","US","com",46,34,2,12/06/2011 00:00,03/10/2012 00:00
244,"avegasguide.com",702,94558,1,2,44523,7557,5804,26/05/2013 00:00,10/08/2013 00:00,"198.187.29.18","198.187.29.0","US","com",34,13,2,02/04/2013 00:00,02/04/2013 00:00
245,"skyauction.com",18931,120107,1,2,6067247,1585531,508501,09/01/2008 00:00,10/08/2013 00:00,"69.7.174.230","69.7.174.0","US","com",40,55,2,07/09/2009 00:00,07/09/2009 00:00
246,"regionaldirectory.us",1315,143963,1,2,81734,5731482,291413,14/05/2009 00:00,10/08/2013 00:00,"206.130.125.28","206.130.125.0","US","us",41,27,2,12/11/2009 00:00,12/11/2009 00:00
247,"hiltongrandvacations.com",4940,150224,1,2,237446,13747,9554,07/02/2008 00:00,10/08/2013 00:00,"174.136.91.82","174.136.91.0","US","com",48,49,2,23/02/2013 00:00,03/07/2013 00:00
248,"onlineobchody.com",6379,158672,1,2,18731244,3882415,1370516,09/01/2008 00:00,10/08/2013 00:00,"78.24.9.177","78.24.9.0","CZ","com",50,44,2,25/05/2012 00:00,13/08/2012 00:00
249,"vegasmessageboard.com",2267,160267,1,2,2199967,1620481,253351,10/01/2008 00:00,10/08/2013 00:00,"199.193.246.178","199.193.246.0","US","com",23,19,2,14/05/2013 00:00,14/07/2013 00:00
250,"easyseek.com",1113,160851,1,2,7219,7952781,787121,10/01/2008 00:00,10/08/2013 00:00,"64.14.40.140","64.14.40.0","US","com",16,8,2,08/05/2009 00:00,08/05/2009 00:00
251,"bazsites.com",1128,181144,1,2,92684,1974749,708366,24/01/2008 00:00,10/08/2013 00:00,"209.62.124.61","209.62.124.0","US","com",25,14,2,27/08/2009 00:00,27/08/2009 00:00
252,"qurkl.com",964,197808,1,2,16500,5005563,271360,20/06/2010 00:00,10/08/2013 00:00,"208.94.117.4","208.94.117.0","US","com",21,7,2,30/01/2011 00:00,05/09/2012 00:00
253,"kbcafe.com",9293,204990,1,2,3222455,1391447,641028,09/01/2008 00:00,10/08/2013 00:00,"72.167.55.120","72.167.55.0","US","com",47,37,2,16/05/2012 00:00,04/01/2013 00:00
254,"singlepage.com",559,222295,1,2,141674,115997,80124,21/12/2011 00:00,10/08/2013 00:00,"107.20.200.240","107.20.200.0","US","com",34,27,2,16/06/2013 00:00,16/06/2013 00:00
255,"muskogeephoenix.com",44045,238639,1,2,985761,16463689,1374059,09/01/2008 00:00,10/08/2013 00:00,"74.84.203.168","74.84.203.0","US","com",44,34,2,09/09/2010 00:00,09/09/2010 00:00
256,"foodbanter.com",4926,294377,1,2,210191,2899554,576308,09/01/2008 00:00,10/08/2013 00:00,"87.106.25.190","87.106.25.0","DE","com",21,21,2,18/10/2011 00:00,20/01/2013 00:00
257,"natchezdemocrat.com",26810,345554,1,2,450421,16977960,1570582,13/01/2008 00:00,10/08/2013 00:00,"46.137.77.223","46.137.77.0","IE","com",24,28,2,25/04/2013 00:00,25/04/2013 00:00
258,"agreatertown.com",3480,397627,1,2,102717,13820773,1591653,07/04/2008 00:00,10/08/2013 00:00,"97.74.197.148","97.74.197.0","US","com",31,28,2,12/06/2009 00:00,12/06/2009 00:00
259,"tagsup.com",2665,447994,1,2,47498,11131044,959283,27/01/2009 00:00,23/05/2013 00:00,"75.101.172.100","75.101.172.0","US","com",13,13,2,04/08/2010 00:00,24/02/2013 00:00
260,"seodigger.com",11358,458494,1,2,1301135,27809045,813147,03/04/2008 00:00,10/08/2013 00:00,"88.214.226.35","88.214.226.0","UK","com",26,25,2,24/04/2010 00:00,24/04/2010 00:00
261,"companypond.com",4492,462932,1,2,233858,19401,13912,14/06/2009 00:00,10/08/2013 00:00,"184.106.142.132","184.106.142.0","US","com",33,14,2,30/07/2012 00:00,07/03/2013 00:00
262,"alleba.com",13924,522668,1,2,532206,9673679,1278960,12/01/2008 00:00,10/08/2013 00:00,"208.113.181.214","208.113.181.0","US","com",33,37,2,17/11/2009 00:00,17/11/2009 00:00
