"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_sushirestaurant.com","FirstLinkDate_sushirestaurant.com","LastLinkDate_sushirestaurant.com"
30,"merket.org",157,-1,1,15,3566,17247,13903,26/01/2008 00:00,10/08/2013 00:00,"74.220.215.55","74.220.215.0","US","org",14,0,15,09/10/2011 00:00,28/10/2011 00:00
31,"lasvegasokay.com",856,-1,1,15,1311043,17411,15123,17/10/2008 00:00,10/08/2013 00:00,"70.34.194.200","70.34.194.0","US","com",22,7,15,11/10/2008 00:00,10/12/2008 00:00
32,"friendseat.com",17503,122216,1,14,943835,8100693,1241333,12/01/2008 00:00,10/08/2013 00:00,"184.73.181.174","184.73.181.0","US","com",38,32,14,23/02/2010 00:00,27/07/2012 00:00
33,"festquest.com",1800,-1,1,14,13774,123503,74731,11/01/2008 00:00,10/08/2013 00:00,"72.34.33.47","72.34.33.0","US","com",20,30,14,07/02/2008 00:00,07/02/2008 00:00
34,"examiner.com",609107,636,1,13,105833121,26109823,2714081,09/01/2008 00:00,10/08/2013 00:00,"69.164.157.219","69.164.157.0","US","com",74,77,13,07/05/2009 00:00,07/05/2009 00:00
35,"usajapaneserestaurants.com",29,-1,1,13,65,9116,9108,22/12/2011 00:00,10/08/2013 00:00,"174.120.19.158","174.120.19.0","US","com",12,0,13,21/04/2012 00:00,12/07/2013 00:00
36,"respage.com",2428,247513,1,12,399467,260591,171679,04/01/2010 00:00,10/08/2013 00:00,"64.131.82.185","64.131.82.0","US","com",40,21,12,27/08/2012 00:00,27/08/2012 00:00
37,"foodsiteoftheday.com",7710,-1,1,12,34707,7933,5089,05/02/2008 00:00,07/08/2012 00:00,"69.89.31.223","69.89.31.0","US","com",19,31,12,06/02/2008 00:00,02/04/2008 00:00
38,"barclubsearch.com",779,-1,1,12,19699,1144561,463521,13/01/2008 00:00,10/08/2013 00:00,"174.36.139.50","174.36.139.0","US","com",25,11,12,03/02/2008 00:00,27/03/2008 00:00
39,"usifinder.com",470,-1,1,12,125841,125467,63582,20/01/2008 00:00,10/08/2013 00:00,"210.238.177.235","210.238.177.0","JP","com",23,29,12,30/03/2008 00:00,01/05/2012 00:00
40,"lvcnn.com",148,-1,1,12,689164,63143,42244,26/07/2010 00:00,10/08/2013 00:00,"67.20.113.241","67.20.113.0","US","com",50,11,12,10/03/2013 00:00,13/03/2013 00:00
41,"janbalaya.com",37,-1,1,12,24861,18263,15422,19/02/2013 00:00,10/08/2013 00:00,"76.74.254.123","76.74.254.0","US","com",15,7,12,04/03/2013 00:00,04/03/2013 00:00
42,"partyoh.com",39,-1,1,11,2079,88399,64988,29/01/2009 00:00,10/08/2013 00:00,"173.203.73.225","173.203.73.0","US","com",10,5,11,09/01/2009 00:00,06/05/2009 00:00
43,"14wfie.com",40780,-1,1,10,2466731,25894150,1826773,01/02/2008 00:00,02/06/2013 00:00,"64.14.56.100","64.14.56.0","US","com",38,31,10,18/06/2010 00:00,18/06/2010 00:00
44,"thefavorites.us",38,-1,1,10,77782,59685,53865,13/01/2008 00:00,02/10/2008 00:00,"","","","us",7,0,10,23/02/2008 00:00,23/02/2008 00:00
45,"jenleolive.com",471,-1,1,10,13815,2786,2505,09/02/2008 00:00,10/08/2013 00:00,"204.9.177.195","204.9.177.0","US","com",18,14,10,22/05/2008 00:00,25/05/2013 00:00
46,"lasvegas-jobing.co.cc",0,-1,1,10,0,27,27,28/10/2012 00:00,,"112.175.243.21","112.175.243.0","KR","cc",0,0,10,25/11/2008 00:00,25/11/2008 00:00
47,"citycheers.com",1006,894592,1,9,14308,13448,8329,15/01/2008 00:00,10/08/2013 00:00,"50.116.12.30","50.116.12.0","US","com",37,18,9,05/10/2010 00:00,28/11/2011 00:00
48,"mackenziegraydigital.net",52,-1,1,9,5580,7317,6982,31/07/2012 00:00,10/08/2013 00:00,"173.193.104.22","173.193.104.0","US","net",21,11,9,13/02/2013 00:00,29/05/2013 00:00
49,"socal3s.com",1142,-1,1,9,15020,150456,108608,12/01/2008 00:00,10/08/2013 00:00,"68.71.246.207","68.71.246.0","US","com",28,10,9,11/06/2008 00:00,18/07/2009 00:00
50,"theweddingdirectory.us",3272,-1,1,9,425526,2709917,571352,09/01/2008 00:00,10/08/2013 00:00,"67.192.151.185","67.192.151.0","US","us",34,20,9,07/03/2011 00:00,07/03/2011 00:00
51,"healthysiliconvalley.org",1136,-1,1,9,138253,9264,8587,28/02/2008 00:00,10/08/2013 00:00,"74.220.207.115","74.220.207.0","US","org",36,14,9,20/02/2013 00:00,20/02/2013 00:00
52,"restaurantlinkbid.com",1,-1,1,9,1,132943,132942,10/12/2008 00:00,10/08/2013 00:00,"173.249.154.160","173.249.154.0","US","com",0,0,9,26/11/2008 00:00,20/12/2008 00:00
53,"birthdaysinlasvegas.com",13,-1,1,9,1095,674,672,02/05/2011 00:00,31/07/2013 00:00,"174.121.74.194","174.121.74.0","US","com",5,1,9,21/11/2012 00:00,27/02/2013 00:00
54,"dailyspecialmenu.com",1,-1,1,9,3,65222,65222,21/01/2008 00:00,10/08/2013 00:00,"205.234.223.187","205.234.223.0","US","com",0,0,9,20/04/2008 00:00,06/09/2008 00:00
55,"lycos.com",456810,3183,1,8,266161089,45824792,10267411,09/01/2008 00:00,10/08/2013 00:00,"64.208.159.26","64.208.159.0","US","com",83,85,8,29/04/2009 00:00,29/04/2009 00:00
56,"linkresell.com",1857,27381,1,8,617766,72703,63943,05/12/2011 00:00,10/08/2013 00:00,"67.20.83.144","67.20.83.0","US","com",26,10,8,04/04/2013 00:00,07/04/2013 00:00
57,"cornerstonesworld.com",2464,122236,1,8,426839,4613868,973899,10/01/2008 00:00,10/08/2013 00:00,"78.28.216.93","78.28.216.0","LV","com",29,12,8,22/12/2009 00:00,22/12/2009 00:00
58,"usmenuguide.com",6780,296425,1,8,62866,12556,11112,09/01/2008 00:00,02/08/2013 00:00,"50.116.98.218","50.116.98.0","US","com",38,21,8,01/03/2008 00:00,05/06/2013 00:00
59,"surfpacific.net",1282,581975,1,8,67714,25614,20591,31/01/2008 00:00,10/08/2013 00:00,"198.57.163.139","198.57.163.0","US","net",31,35,8,08/01/2011 00:00,09/11/2011 00:00
60,"menusearch.net",2239,704416,1,8,17291,23755,11578,21/01/2008 00:00,31/07/2013 00:00,"184.173.209.193","184.173.209.0","US","net",22,23,8,15/10/2008 00:00,23/08/2009 00:00
61,"3oclockclub.com",591,-1,1,8,40162,3112,2054,24/12/2009 00:00,10/08/2013 00:00,"205.186.131.198","205.186.131.0","US","com",27,15,8,03/10/2010 00:00,03/10/2010 00:00
62,"vegasbitecard.com",452,-1,1,8,7080,117,106,20/08/2008 00:00,10/08/2013 00:00,"66.209.73.106","66.209.73.0","US","com",23,29,8,22/02/2010 00:00,21/07/2010 00:00
