"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_printingshop.com","FirstLinkDate_printingshop.com","LastLinkDate_printingshop.com"
140,"momsnetwork.com",12286,926753,1,7,5370439,1078526,287721,11/01/2008 00:00,10/08/2013 00:00,"72.52.183.1","72.52.183.0","US","com",41,47,7,03/02/2013 00:00,02/05/2013 00:00
141,"divinesueshinehealthandfitness.com",55,-1,1,7,952,551,476,23/10/2010 00:00,10/08/2013 00:00,"184.172.52.234","184.172.52.0","US","com",10,0,7,13/07/2012 00:00,27/07/2012 00:00
142,"ruralhobbyfarm.com",357,-1,1,7,1984,23077,8848,24/01/2011 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",20,6,7,27/11/2011 00:00,12/03/2012 00:00
143,"donyignaz.com",75,-1,1,7,1030,565,453,25/03/2010 00:00,17/12/2012 00:00,"208.91.197.101","208.91.197.0","UK","com",7,0,7,30/11/2011 00:00,08/02/2012 00:00
144,"yeugame.net",168,-1,1,7,114452,8443,3791,14/10/2011 00:00,10/08/2013 00:00,"222.255.28.11","222.255.28.0","VN","net",12,2,7,23/11/2011 00:00,23/11/2011 00:00
145,"slyus.com",1747,-1,1,7,37132,193157,46068,03/02/2010 00:00,10/08/2013 00:00,"69.93.100.47","69.93.100.0","US","com",18,4,7,04/11/2011 00:00,04/11/2011 00:00
146,"nottenews.com",215,-1,1,7,1244,362,116,08/04/2012 00:00,10/08/2013 00:00,"204.45.55.44","204.45.55.0","US","com",10,1,7,16/01/2012 00:00,08/04/2012 00:00
147,"icantstopeating.com",165,-1,1,7,846,892,770,08/12/2010 00:00,10/08/2013 00:00,"173.201.98.128","173.201.98.0","US","com",14,0,7,20/11/2011 00:00,03/01/2012 00:00
148,"nstoyanov.com",6439,-1,1,7,125358,39096,14635,19/09/2009 00:00,01/08/2013 00:00,"193.107.36.200","193.107.36.0","BG","com",31,21,7,06/12/2011 00:00,11/08/2012 00:00
149,"powerfulpanicattackremedy.com",63,-1,1,7,257,396,388,21/04/2011 00:00,11/07/2013 00:00,"174.121.33.222","174.121.33.0","US","com",7,0,7,15/12/2011 00:00,06/06/2013 00:00
150,"dlpalace.org",79,-1,1,7,2131,900,840,05/07/2010 00:00,31/01/2012 00:00,"27.54.86.177","27.54.86.0","AU","org",5,0,7,24/11/2011 00:00,24/11/2011 00:00
151,"nskkite.nl",49,-1,1,7,1474,789,223,19/09/2010 00:00,01/07/2013 00:00,"193.202.110.161","193.202.110.0","NL","nl",9,6,7,21/11/2011 00:00,21/11/2011 00:00
152,"laptop-battery-depot.co.uk",887,-1,1,7,6007,4360,2972,23/06/2010 00:00,21/05/2013 00:00,"74.220.199.6","74.220.199.0","US","uk",11,3,7,24/11/2011 00:00,24/11/2011 00:00
