"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_printingshop.com","FirstLinkDate_printingshop.com","LastLinkDate_printingshop.com"
232,"teamepic.tv",13312,-1,1,4,112703,46543,18697,25/02/2008 00:00,10/08/2013 00:00,"64.34.162.70","64.34.162.0","US","tv",37,10,4,14/12/2011 00:00,14/12/2011 00:00
233,"anakdatuk.com",3643,-1,1,4,47898,36631,30701,11/01/2008 00:00,10/08/2013 00:00,"110.4.45.74","110.4.45.0","MY","com",31,15,4,19/12/2011 00:00,20/08/2012 00:00
234,"kleem.com.sg",1532,-1,1,4,1553624,67360,52597,30/11/2008 00:00,06/07/2013 00:00,"202.83.109.184","202.83.109.0","SG","sg",13,4,4,22/11/2011 00:00,22/11/2011 00:00
235,"diggfocus.com",1197,-1,1,4,14695,352261,135913,29/11/2009 00:00,10/07/2013 00:00,"69.43.161.180","69.43.161.0","US","com",18,4,4,18/10/2011 00:00,18/10/2011 00:00
236,"artharrest.com",1255,-1,1,4,68091,22959,15149,02/08/2010 00:00,10/08/2013 00:00,"74.208.39.141","74.208.39.0","US","com",26,3,4,10/12/2011 00:00,20/10/2012 00:00
237,"teregova.ro",125,-1,1,4,2237,69139,51530,28/09/2010 00:00,30/06/2013 00:00,"93.115.117.90","93.115.117.0","RO","ro",12,3,4,23/11/2011 00:00,23/11/2011 00:00
238,"iphonemv.info",130,-1,1,4,647,10681,4344,11/10/2011 00:00,29/07/2013 00:00,"174.120.16.7","174.120.16.0","US","info",9,2,4,30/11/2011 00:00,30/11/2011 00:00
239,"cunttrumpet.com",118,-1,1,4,207,11535,2102,28/10/2011 00:00,25/04/2012 00:00,"69.43.161.174","69.43.161.0","US","com",0,0,4,26/12/2011 00:00,26/12/2011 00:00
240,"project365.it",36,-1,1,4,85,63,21,15/06/2012 00:00,03/07/2012 00:00,"46.252.157.14","46.252.157.0","IT","it",7,0,4,15/06/2012 00:00,15/06/2012 00:00
241,"golfstrim.net",28154,-1,1,4,383926,985025,229404,26/04/2008 00:00,10/08/2013 00:00,"178.162.182.163","178.162.182.0","DE","net",48,9,4,07/08/2012 00:00,07/08/2012 00:00
242,"estimatedwebsite.com",1583,-1,1,4,1521601,6569093,406381,24/05/2010 00:00,12/02/2013 00:00,"95.211.74.129","95.211.74.0","NL","com",11,3,4,20/07/2010 00:00,20/07/2010 00:00
243,"focustkd.com",184,-1,1,4,623,882,720,25/06/2008 00:00,06/08/2013 00:00,"50.6.156.9","50.6.156.0","US","com",16,11,4,04/12/2011 00:00,16/12/2011 00:00
244,"visuatronic.com",158,-1,1,4,3585,2786,1400,07/11/2008 00:00,24/08/2012 00:00,"67.215.66.132","67.215.66.0","US","com",7,2,4,22/11/2011 00:00,22/11/2011 00:00
245,"accepa.com.au",64,-1,1,4,108,1892,1186,23/03/2013 00:00,10/08/2013 00:00,"65.99.229.21","65.99.229.0","US","au",16,3,4,18/04/2013 00:00,07/08/2013 00:00
246,"ipllaserhairremoval.com.au",159,-1,1,4,1838,634,370,23/01/2012 00:00,27/07/2013 00:00,"174.122.3.67","174.122.3.0","US","au",8,3,4,16/12/2011 00:00,16/12/2011 00:00
247,"chibacrawler.com",0,-1,1,4,0,377797,377797,29/01/2009 00:00,03/04/2010 00:00,"69.68.185.190","69.68.185.0","US","com",0,0,4,14/02/2010 00:00,14/02/2010 00:00
248,"oz-design.es",2728,-1,1,4,198695,1721,1267,10/10/2008 00:00,10/08/2013 00:00,"184.154.136.60","184.154.136.0","US","es",31,13,4,24/11/2011 00:00,24/11/2011 00:00
249,"kis-avl.ru",26474,-1,1,4,312850,160134,44995,03/02/2008 00:00,10/08/2013 00:00,"77.222.40.24","77.222.40.0","RU","ru",42,16,4,26/07/2012 00:00,26/07/2012 00:00
250,"fatdesigns.co.uk",40,-1,1,4,462,68,39,24/05/2013 00:00,10/08/2013 00:00,"129.121.186.212","129.121.186.0","US","uk",7,0,4,14/12/2012 00:00,16/07/2013 00:00
251,"gallantgifts.com",7251,-1,1,4,5848223,1965357,665417,22/01/2008 00:00,10/08/2013 00:00,"50.63.48.180","50.63.48.0","US","com",33,46,4,14/02/2013 00:00,18/02/2013 00:00
252,"rickmartins.com.br",55,-1,1,4,1116,7964,385,19/02/2011 00:00,26/12/2011 00:00,"","","","br",8,0,4,23/11/2011 00:00,25/01/2012 00:00
253,"borealterrainpark.com",729,-1,1,4,5551,8041,4062,14/11/2008 00:00,10/08/2013 00:00,"208.113.224.112","208.113.224.0","US","com",12,20,4,30/11/2011 00:00,30/11/2011 00:00
254,"nutrifreak.net",12037,-1,1,4,141417,332289,126158,13/06/2012 00:00,10/08/2013 00:00,"74.220.207.107","74.220.207.0","US","net",39,6,4,10/06/2013 00:00,10/06/2013 00:00
255,"alpvideo.ru",322,-1,1,4,8816,46144,33601,13/02/2009 00:00,10/08/2013 00:00,"188.128.85.11","188.128.85.0","RU","ru",13,13,4,08/07/2012 00:00,01/08/2012 00:00
256,"bluestarsadmissionsconsulting.com",140,-1,1,4,4156,987,845,12/11/2010 00:00,08/08/2013 00:00,"129.121.177.79","129.121.177.0","US","com",12,9,4,05/12/2011 00:00,13/01/2012 00:00
257,"asu.edu",355312,6950,1,3,76048618,9696501,2393358,09/01/2008 00:00,10/08/2013 00:00,"129.219.10.58","129.219.10.0","US","edu",67,76,3,22/11/2011 00:00,22/11/2011 00:00
258,"usdirectory.com",8087,83844,1,3,10586416,18413029,1539261,09/01/2008 00:00,10/08/2013 00:00,"64.135.77.70","64.135.77.0","US","com",39,28,3,18/10/2011 00:00,09/10/2012 00:00
259,"urlscentral.com",8017,122404,1,3,3514384,1086088,316515,30/04/2010 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",28,8,3,15/10/2011 00:00,15/10/2011 00:00
260,"ballarat.edu.au",31984,141446,1,3,626999,6827231,1165537,09/01/2008 00:00,10/08/2013 00:00,"141.132.88.207","141.132.88.0","AU","au",47,62,3,20/12/2011 00:00,30/04/2012 00:00
261,"msnbusinessdirectory.com",937,283323,1,3,1561362,72685,44039,14/03/2010 00:00,10/08/2013 00:00,"174.122.30.139","174.122.30.0","US","com",34,23,3,02/07/2013 00:00,22/07/2013 00:00
262,"grandirectorio.com",2829,421108,1,3,613896,444304,116672,27/03/2011 00:00,04/04/2013 00:00,"92.42.70.10","92.42.70.0","NO","com",19,16,3,22/04/2012 00:00,22/04/2012 00:00
263,"learnthenet.com",20837,447360,1,3,477533,553557,211820,10/01/2008 00:00,10/08/2013 00:00,"69.89.31.86","69.89.31.0","US","com",49,55,3,12/03/2013 00:00,12/03/2013 00:00
264,"mueveme.info",2194,844667,1,3,95565,94615,67454,31/10/2009 00:00,10/08/2013 00:00,"69.89.31.93","69.89.31.0","US","info",33,12,3,28/11/2011 00:00,28/11/2011 00:00
265,"sonfamosos.com",9016,884017,1,3,942627,118198,79677,24/03/2008 00:00,10/08/2013 00:00,"108.174.145.182","108.174.145.0","US","com",48,15,3,02/12/2011 00:00,10/04/2012 00:00
266,"lefthandedgolfclub.org",33,-1,1,3,70,721,488,30/01/2010 00:00,13/12/2011 00:00,"70.86.12.226","70.86.12.0","US","org",6,0,3,04/12/2011 00:00,04/12/2011 00:00
267,"vesex.ru",2359,-1,1,3,21168,181013,59074,04/11/2008 00:00,10/08/2013 00:00,"90.156.201.74","90.156.201.0","RU","ru",30,7,3,12/06/2012 00:00,12/06/2012 00:00
268,"mistisymakeup.com",223,-1,1,3,2664,15906,15099,06/09/2008 00:00,10/08/2013 00:00,"184.170.145.235","184.170.145.0","US","com",21,3,3,30/12/2011 00:00,30/12/2011 00:00
269,"islamickorner.net",1669,-1,1,3,49730,567941,174159,01/06/2011 00:00,10/08/2013 00:00,"206.253.167.162","206.253.167.0","US","net",30,9,3,05/04/2012 00:00,05/04/2012 00:00
270,"techappz32.com",2207,-1,1,3,72828,296590,77531,26/10/2010 00:00,15/09/2012 00:00,"64.74.223.38","64.74.223.0","US","com",10,6,3,27/11/2011 00:00,17/01/2012 00:00
271,"itreviewer.ru",178,-1,1,3,5442,24240,22384,19/10/2010 00:00,10/08/2013 00:00,"92.53.113.61","92.53.113.0","RU","ru",21,0,3,01/07/2012 00:00,25/05/2013 00:00
272,"blogtop1000.com",17,-1,1,3,30,253,127,23/06/2009 00:00,20/06/2012 00:00,"37.152.88.24","37.152.88.0","ES","com",0,0,3,18/12/2011 00:00,18/12/2011 00:00
273,"tarif-infos.com",144,-1,1,3,2276,882,720,22/09/2008 00:00,26/02/2013 00:00,"208.73.210.155","208.73.210.0","US","com",10,5,3,26/11/2011 00:00,17/12/2011 00:00
274,"boomer-living.com",2447,-1,1,3,201619,925142,228242,23/01/2008 00:00,28/07/2013 00:00,"141.101.117.143","141.101.117.0","EU","com",25,27,3,19/03/2013 00:00,19/03/2013 00:00
275,"mygreatclock.com",107,-1,1,3,964,4778,1695,21/06/2012 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",16,0,3,21/06/2012 00:00,21/06/2012 00:00
276,"fremdsehen.at",837,-1,1,3,20311,29148,15739,03/07/2010 00:00,10/08/2013 00:00,"37.235.63.171","37.235.63.0","AT","at",25,6,3,22/11/2011 00:00,22/11/2011 00:00
277,"antigualug.org",152,-1,1,3,5117,1463,632,05/07/2010 00:00,15/07/2013 00:00,"58.191.154.18","58.191.154.0","JP","org",14,8,3,21/11/2011 00:00,21/11/2011 00:00
278,"riseupandgo.com",1950,-1,1,3,10844,28018,25128,25/10/2010 00:00,10/08/2013 00:00,"208.113.155.101","208.113.155.0","US","com",27,2,3,10/07/2013 00:00,10/07/2013 00:00
279,"emich.be",3017,-1,1,3,389205,6314,4157,24/01/2008 00:00,10/08/2013 00:00,"188.165.227.110","188.165.227.0","FR","be",28,29,3,30/11/2011 00:00,01/02/2012 00:00
280,"kalazy.me",4144,-1,1,3,52359,44911,34860,02/02/2011 00:00,10/08/2013 00:00,"192.210.141.105","192.210.141.0","US","me",32,5,3,01/12/2011 00:00,01/12/2011 00:00
281,"etelescope.net",82,-1,1,3,975,1852,473,27/10/2011 00:00,,"74.220.219.69","74.220.219.0","US","net",8,0,3,01/12/2011 00:00,01/12/2011 00:00
282,"rkvb.nl",249,-1,1,3,979,9963,3395,16/03/2008 00:00,10/08/2013 00:00,"93.157.136.196","93.157.136.0","NL","nl",15,10,3,24/11/2011 00:00,25/11/2011 00:00
283,"gamemaking.info",139,-1,1,3,10659,12190,5505,11/10/2011 00:00,29/01/2013 00:00,"69.43.161.151","69.43.161.0","US","info",15,0,3,19/11/2011 00:00,19/11/2011 00:00
284,"kinx.bz",296,-1,1,3,5738,11247,832,31/01/2011 00:00,21/01/2013 00:00,"74.54.207.8","74.54.207.0","US","bz",9,1,3,30/11/2011 00:00,20/12/2011 00:00
285,"siewyik.com",136,-1,1,3,2414,901,771,18/05/2012 00:00,10/08/2013 00:00,"69.89.31.173","69.89.31.0","US","com",15,2,3,10/11/2012 00:00,10/11/2012 00:00
286,"fooddiets.org",1161,-1,1,3,27506,17679,12560,29/07/2010 00:00,10/08/2013 00:00,"67.20.85.84","67.20.85.0","US","org",19,4,3,12/12/2011 00:00,12/12/2011 00:00
287,"4colorusa.com",137,-1,1,3,711,1357,651,25/07/2009 00:00,08/08/2013 00:00,"184.168.120.70","184.168.120.0","US","com",9,1,3,25/07/2009 00:00,25/07/2009 00:00
288,"ep2.nl",3230,-1,1,3,83514,652096,181898,28/01/2008 00:00,10/08/2013 00:00,"91.196.168.84","91.196.168.0","NL","nl",29,17,3,12/05/2012 00:00,12/05/2012 00:00
289,"ganaware.org",629,-1,1,3,2292,4931,3973,06/07/2008 00:00,10/08/2013 00:00,"173.231.40.131","173.231.40.0","US","org",26,16,3,26/11/2011 00:00,26/11/2011 00:00
290,"aerotechnews.com",5836,-1,1,3,240175,21164596,1446960,10/01/2008 00:00,10/07/2013 00:00,"98.129.229.53","98.129.229.0","US","com",22,34,3,24/05/2010 00:00,21/06/2010 00:00
291,"birdparadise.tk",476,-1,1,3,10752,70819,10591,11/12/2010 00:00,10/08/2013 00:00,"93.170.52.31","93.170.52.0","CZ","tk",9,2,3,21/11/2011 00:00,21/11/2011 00:00
292,"secretsofflatabs.com",190,-1,1,3,3570,1735,1198,21/09/2010 00:00,04/08/2013 00:00,"173.236.10.26","173.236.10.0","US","com",11,0,3,21/11/2011 00:00,26/01/2012 00:00
293,"thegeekparade.com",43,-1,1,3,67,1038,576,23/11/2011 00:00,29/06/2013 00:00,"173.201.216.6","173.201.216.0","US","com",7,0,3,18/11/2011 00:00,18/11/2011 00:00
294,"ccocr2010.org",219,-1,1,3,871,3773,2410,09/12/2009 00:00,26/02/2013 00:00,"50.97.101.209","50.97.101.0","US","org",8,2,3,19/12/2011 00:00,16/05/2012 00:00
295,"joanneshotagua.com",272,-1,1,3,2182,2319,1385,03/01/2010 00:00,07/08/2013 00:00,"162.144.90.118","162.144.90.0","US","com",11,7,3,21/11/2011 00:00,26/11/2011 00:00
296,"healthanarchy.com",19,-1,1,3,23,1045,477,29/10/2010 00:00,05/08/2013 00:00,"184.168.221.33","184.168.221.0","US","com",6,0,3,29/11/2011 00:00,29/11/2011 00:00
297,"praxishomepage.de",600,-1,1,3,6681,20800,14226,20/01/2008 00:00,10/08/2013 00:00,"85.236.48.180","85.236.48.0","DE","de",25,19,3,26/02/2013 00:00,22/07/2013 00:00
298,"riskmanagementconsulting.net",11294,-1,1,3,124619,62097,47565,10/07/2010 00:00,10/08/2013 00:00,"108.162.198.21","108.162.198.0","US","net",43,6,3,06/04/2013 00:00,06/04/2013 00:00
299,"cumshotbestpics.com",1886,-1,1,3,48967,5700,3341,04/02/2008 00:00,10/08/2013 00:00,"208.94.232.213","208.94.232.0","US","com",21,3,3,02/05/2012 00:00,18/06/2012 00:00
300,"djive.com",1591,-1,1,3,13506,70517,14238,31/07/2008 00:00,13/01/2012 00:00,"50.63.202.69","50.63.202.0","US","com",15,18,3,31/10/2011 00:00,31/10/2011 00:00
301,"epilaredefinitiva.com.ro",185,-1,1,3,5651,2941,2766,22/06/2009 00:00,30/05/2013 00:00,"85.9.53.120","85.9.53.0","RO","ro",9,9,3,21/11/2011 00:00,23/11/2011 00:00
302,"weddingsaffordable.com",2773,-1,1,3,162943,310310,176736,20/01/2008 00:00,10/08/2013 00:00,"72.52.201.59","72.52.201.0","US","com",37,9,3,27/02/2013 00:00,27/02/2013 00:00
303,"dngeek.com",103,-1,1,3,3752,812,700,09/06/2008 00:00,01/11/2012 00:00,"72.32.28.75","72.32.28.0","US","com",7,1,3,18/12/2011 00:00,11/11/2012 00:00
304,"txmusictv.com",581,-1,1,3,13562,9103,6839,15/06/2010 00:00,29/07/2013 00:00,"174.122.150.34","174.122.150.0","US","com",23,15,3,19/11/2011 00:00,19/11/2011 00:00
305,"celebratewithstyle.com",2822,-1,1,3,143699,112062,74594,15/01/2008 00:00,10/08/2013 00:00,"208.131.147.13","208.131.147.0","US","com",36,40,3,20/04/2013 00:00,26/05/2013 00:00
306,"seoit.org",3135,-1,1,3,20643,84509,16943,09/09/2010 00:00,02/08/2013 00:00,"50.63.202.32","50.63.202.0","US","org",18,5,3,13/10/2011 00:00,13/10/2011 00:00
307,"v7u.com",2883,-1,1,3,35899,103075,19940,08/02/2010 00:00,10/08/2013 00:00,"176.9.171.238","176.9.171.0","DE","com",17,3,3,15/10/2011 00:00,15/10/2011 00:00
308,"hunacode.com",31,-1,1,3,78,6139,4908,10/10/2009 00:00,10/08/2013 00:00,"173.201.63.1","173.201.63.0","US","com",11,0,3,08/03/2013 00:00,20/04/2013 00:00
309,"retirementcommunitiesaz.com",542,-1,1,3,3265,11280,1559,01/10/2010 00:00,09/08/2013 00:00,"173.225.25.42","173.225.25.0","US","com",24,3,3,09/12/2011 00:00,13/02/2012 00:00
310,"politicalcontext.org",438,-1,1,3,17486,8088,6922,27/03/2011 00:00,31/07/2013 00:00,"50.116.99.36","50.116.99.0","US","org",26,18,3,22/11/2011 00:00,01/12/2011 00:00
311,"landmarkfinder.com",398,-1,1,3,18229,97547,34154,14/02/2011 00:00,10/07/2013 00:00,"184.154.130.218","184.154.130.0","US","com",11,1,3,15/06/2012 00:00,19/10/2012 00:00
312,"fokakmena.com",906,-1,1,3,126198,752772,140315,25/03/2008 00:00,10/08/2013 00:00,"5.39.50.144","5.39.50.0","FR","com",27,19,3,16/12/2011 00:00,04/11/2012 00:00
313,"glmstat.com",291,-1,1,3,1324,6420,5585,17/01/2008 00:00,16/12/2012 00:00,"173.247.248.36","173.247.248.0","US","com",8,8,3,25/11/2011 00:00,25/11/2011 00:00
314,"corpuschristicrawler.com",0,-1,1,3,0,199772,199772,19/11/2008 00:00,02/04/2010 00:00,"","","","com",0,0,3,04/02/2010 00:00,04/02/2010 00:00
315,"infogrippea.fr",202,-1,1,3,1081,18401,8423,20/10/2010 00:00,28/01/2013 00:00,"67.215.77.132","67.215.77.0","US","fr",7,1,3,11/08/2011 00:00,11/08/2011 00:00
316,"medicalmarijuanamississippi.org",63,-1,1,3,518,4119,3715,04/03/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","org",15,0,3,07/07/2013 00:00,14/07/2013 00:00
317,"lookallweb.com",750,-1,1,3,36560,444390,325901,07/10/2008 00:00,10/08/2013 00:00,"74.220.199.8","74.220.199.0","US","com",10,6,3,21/12/2011 00:00,11/01/2012 00:00
318,"cmaynordesigns247.com",214,-1,1,3,4351,11488,9635,12/11/2010 00:00,10/08/2013 00:00,"108.167.177.82","108.167.177.0","US","com",19,5,3,21/11/2011 00:00,21/11/2011 00:00
319,"voddlerinvite.com",349,-1,1,3,7813,3138,1381,12/10/2009 00:00,08/08/2013 00:00,"195.74.38.121","195.74.38.0","SE","com",16,5,3,17/11/2011 00:00,17/11/2011 00:00
320,"zeedoo.de",2099,-1,1,3,105310,409986,77030,05/12/2010 00:00,09/08/2013 00:00,"109.234.109.80","109.234.109.0","DE","de",15,10,3,22/10/2011 00:00,22/10/2011 00:00
321,"medicalmarijuanamissouri.net",351,-1,1,3,4751,4558,3804,17/12/2010 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",25,4,3,15/05/2013 00:00,25/07/2013 00:00
322,"yellowpages.com",331984,559,1,2,43366383,90346516,1438715,09/01/2008 00:00,10/08/2013 00:00,"208.93.105.105","208.93.105.0","US","com",58,61,2,19/06/2010 00:00,19/06/2010 00:00
323,"startupnation.com",44959,8833,1,2,2828295,2772890,721633,09/01/2008 00:00,10/08/2013 00:00,"161.58.180.5","161.58.180.0","US","com",50,56,2,05/04/2013 00:00,05/04/2013 00:00
324,"wldirectory.com",5660,15854,1,2,224244,362467,176878,09/01/2009 00:00,10/08/2013 00:00,"176.31.69.138","176.31.69.0","FR","com",38,32,2,17/05/2013 00:00,13/06/2013 00:00
325,"reviewjournal.com",61959,18833,1,2,45379356,57215594,2545354,09/01/2008 00:00,10/08/2013 00:00,"54.245.88.31","54.245.88.0","US","com",72,62,2,20/06/2010 00:00,20/06/2010 00:00
326,"buysll.com",1322,23651,1,2,213705,55079,44547,25/07/2012 00:00,10/08/2013 00:00,"208.101.62.195","208.101.62.0","US","com",32,16,2,18/02/2013 00:00,18/03/2013 00:00
327,"eu5.org",246768,27169,1,2,25173532,3807558,676101,06/04/2010 00:00,10/08/2013 00:00,"5.9.106.213","5.9.106.0","DE","org",60,35,2,27/11/2011 00:00,27/11/2011 00:00
328,"ukmediaroom.com",11425,52755,1,2,365528,525056,159009,04/03/2010 00:00,31/07/2013 00:00,"216.172.172.223","216.172.172.0","US","com",25,18,2,26/11/2011 00:00,26/11/2011 00:00
329,"sadtears.net",5057,59008,1,2,196650,3257974,374521,26/09/2009 00:00,10/08/2013 00:00,"108.60.194.163","108.60.194.0","US","net",27,3,2,17/09/2011 00:00,13/04/2012 00:00
330,"savannahnow.com",121010,61467,1,2,6411355,17307262,1878847,09/01/2008 00:00,10/08/2013 00:00,"216.116.229.138","216.116.229.0","US","com",40,36,2,05/09/2010 00:00,05/09/2010 00:00
331,"ad-hoc-news.de",42866,72529,1,2,23637664,9643804,1479173,09/01/2008 00:00,10/08/2013 00:00,"213.73.86.101","213.73.86.0","DE","de",47,45,2,22/11/2011 00:00,22/11/2011 00:00
332,"ylc.edu.tw",86996,82826,1,2,6807667,3523387,1023240,24/01/2008 00:00,09/08/2013 00:00,"163.27.230.31","163.27.230.0","TW","tw",48,24,2,05/01/2012 00:00,01/02/2012 00:00
333,"stedwards.edu",31456,97947,1,2,4187719,285166,159775,25/01/2008 00:00,10/08/2013 00:00,"50.56.124.87","50.56.124.0","US","edu",48,61,2,04/01/2012 00:00,09/02/2012 00:00
334,"arenabetting.com",11267,123262,1,2,1102250,142802,81742,05/11/2009 00:00,10/08/2013 00:00,"112.140.186.219","112.140.186.0","SG","com",45,9,2,18/10/2011 00:00,18/10/2011 00:00
335,"metrotagz.com",4359,128356,1,2,106497,742508,200548,29/03/2010 00:00,10/08/2013 00:00,"89.32.149.221","89.32.149.0","UK","com",27,6,2,18/08/2011 00:00,18/08/2011 00:00
336,"badboysoftware.biz",44055,172540,1,2,701902,606946,151882,17/11/2008 00:00,10/08/2013 00:00,"182.50.148.128","182.50.148.0","SG","biz",44,25,2,06/05/2012 00:00,15/11/2012 00:00
337,"tizags.com",2009,174163,1,2,30821,1339064,95278,29/04/2008 00:00,10/08/2013 00:00,"184.175.123.49","184.175.123.0","US","com",24,10,2,17/10/2011 00:00,17/10/2011 00:00
338,"iframe-apps.com",1323,191671,1,2,61513,758,636,05/12/2011 00:00,10/08/2013 00:00,"94.23.33.152","94.23.33.0","FR","com",24,18,2,29/03/2013 00:00,20/07/2013 00:00
339,"cau.ac.kr",62085,287273,1,2,2270669,2484639,551687,02/02/2008 00:00,10/08/2013 00:00,"165.194.95.137","165.194.95.0","KR","kr",50,37,2,04/09/2012 00:00,04/09/2012 00:00
340,"wepligg.com",3883,357414,1,2,56919,278077,98864,05/10/2010 00:00,31/07/2013 00:00,"174.120.246.254","174.120.246.0","US","com",20,4,2,03/04/2012 00:00,03/04/2012 00:00
341,"tablezine.com",1269,375668,1,2,12768,24892,21330,20/03/2008 00:00,10/08/2013 00:00,"37.43.10.122","37.43.10.0","RO","com",28,15,2,13/06/2012 00:00,13/06/2012 00:00
342,"socialbookmarkingzone.com",3327,465331,1,2,101850,318117,93914,21/06/2010 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",25,6,2,15/10/2011 00:00,15/10/2011 00:00
343,"iamsupergorge.com",2357,471930,1,2,50111,199115,88690,07/04/2011 00:00,10/08/2013 00:00,"72.167.1.1","72.167.1.0","US","com",38,11,2,19/06/2012 00:00,19/06/2012 00:00
344,"directorytumble.com",1059,619056,1,2,119777,63637,15315,22/11/2010 00:00,10/08/2013 00:00,"74.220.199.6","74.220.199.0","US","com",13,7,2,03/09/2012 00:00,03/09/2012 00:00
345,"myalexarankdir.info",1646,654075,1,2,47582,481910,95693,19/06/2012 00:00,31/07/2013 00:00,"50.116.86.181","50.116.86.0","US","info",14,11,2,21/03/2013 00:00,21/03/2013 00:00
346,"mylovedir.info",1568,708534,1,2,38487,382290,91311,19/06/2012 00:00,31/07/2013 00:00,"50.116.86.181","50.116.86.0","US","info",14,11,2,16/05/2013 00:00,16/05/2013 00:00
347,"efx3.com",2801,885774,1,2,36541,82743,52367,06/07/2009 00:00,10/08/2013 00:00,"199.192.203.200","199.192.203.0","US","com",29,14,2,06/12/2011 00:00,30/09/2012 00:00
348,"sayyeahshop.com",64,-1,1,2,355,87,52,21/06/2012 00:00,30/03/2013 00:00,"69.43.161.167","69.43.161.0","US","com",10,1,2,21/06/2012 00:00,21/06/2012 00:00
349,"motoklubasdakaras.lt",11398,-1,1,2,98302,199667,57108,14/08/2008 00:00,10/08/2013 00:00,"79.98.25.14","79.98.25.0","LT","lt",41,10,2,30/07/2012 00:00,26/05/2013 00:00
350,"wisconsinrealestategroup.com",46,-1,1,2,175,205,128,08/12/2011 00:00,26/07/2013 00:00,"68.178.232.100","68.178.232.0","US","com",7,0,2,22/11/2011 00:00,21/12/2011 00:00
351,"discountplumbers.net",1819,-1,1,2,38607,162669,42029,12/08/2010 00:00,19/07/2013 00:00,"69.43.161.170","69.43.161.0","US","net",21,3,2,25/11/2011 00:00,25/11/2011 00:00
352,"vacationhomepro.com",27,-1,1,2,50,425,125,15/10/2011 00:00,,"68.178.232.100","68.178.232.0","US","com",5,0,2,07/12/2011 00:00,07/12/2011 00:00
353,"discoverstlucia.net",126,-1,1,2,439,4115,3145,04/12/2010 00:00,09/08/2013 00:00,"94.229.167.70","94.229.167.0","UK","net",15,5,2,05/12/2011 00:00,05/12/2011 00:00
354,"southdakota.me",2291,-1,1,2,24920,215233,39419,05/11/2010 00:00,01/11/2012 00:00,"69.89.31.112","69.89.31.0","US","me",10,1,2,13/08/2011 00:00,13/08/2011 00:00
355,"mones.org.mn",6078,-1,1,2,78173,164031,59503,10/04/2008 00:00,10/08/2013 00:00,"174.122.92.224","174.122.92.0","US","mn",30,12,2,07/08/2012 00:00,06/02/2013 00:00
356,"watchdoctorwhoepisodes.com",341,-1,1,2,12274,244,217,13/12/2009 00:00,17/07/2013 00:00,"199.59.243.109","199.59.243.0","US","com",18,2,2,13/12/2011 00:00,10/05/2012 00:00
357,"doanhnhancodoc.net",5512,-1,1,2,47024,107806,46565,16/09/2009 00:00,10/08/2013 00:00,"112.213.91.217","112.213.91.0","VN","net",14,5,2,03/09/2011 00:00,25/12/2012 00:00
358,"bioroxinternacional.com.mx",2883,-1,1,2,10220,7546,3286,12/06/2012 00:00,09/08/2013 00:00,"65.99.205.84","65.99.205.0","US","mx",27,3,2,01/04/2013 00:00,13/07/2013 00:00
359,"globalistgirl.net",613,-1,1,2,7138,43777,23726,17/04/2008 00:00,10/08/2013 00:00,"208.109.181.54","208.109.181.0","US","net",30,4,2,23/04/2013 00:00,23/04/2013 00:00
360,"medicalmarijuanalouisiana.net",46,-1,1,2,246,4614,4246,28/02/2013 00:00,10/08/2013 00:00,"50.63.120.1","50.63.120.0","US","net",15,0,2,18/03/2013 00:00,09/08/2013 00:00
361,"belletristik-ebooks.de",133,-1,1,2,969,5307,2192,16/05/2010 00:00,21/01/2013 00:00,"195.143.188.164","195.143.188.0","UK","de",9,3,2,02/12/2011 00:00,02/12/2011 00:00
362,"nocnizivot.net",5,-1,1,2,353,275483,275482,09/12/2008 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","net",0,0,2,23/07/2009 00:00,23/07/2009 00:00
363,"matthanson.net",15853,-1,1,2,185306,44094,36939,15/04/2008 00:00,10/08/2013 00:00,"129.121.133.62","129.121.133.0","US","net",40,17,2,08/06/2013 00:00,08/06/2013 00:00
364,"lachef.net",31414,-1,1,2,379425,228196,71602,01/09/2008 00:00,10/08/2013 00:00,"208.109.78.143","208.109.78.0","US","net",45,7,2,06/04/2012 00:00,06/04/2012 00:00
365,"mokambo.es",9624,-1,1,2,60981,21072,6355,21/03/2010 00:00,20/04/2013 00:00,"82.98.86.163","82.98.86.0","DE","es",14,4,2,23/01/2012 00:00,23/01/2012 00:00
366,"linkjuice.co.in",5883,-1,1,2,40970,433325,65646,07/03/2011 00:00,28/07/2013 00:00,"82.98.86.161","82.98.86.0","DE","in",17,14,2,14/11/2011 00:00,14/11/2011 00:00
367,"malapolska.in",153,-1,1,2,987,46149,30801,10/12/2008 00:00,07/04/2013 00:00,"198.58.93.40","198.58.93.0","US","in",6,2,2,26/05/2012 00:00,06/07/2012 00:00
