"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_cnyinthedesert.com","FirstLinkDate_cnyinthedesert.com","LastLinkDate_cnyinthedesert.com"
31,"knpr.mobi",0,-1,1,4,0,57024,57024,17/01/2011 00:00,10/08/2013 00:00,"108.166.65.135","108.166.65.0","US","mobi",0,0,4,06/02/2013 00:00,06/02/2013 00:00
32,"kuk-bot.net",10905,-1,1,4,77792,76994,14556,14/07/2008 00:00,10/08/2013 00:00,"74.208.63.155","74.208.63.0","US","net",19,5,4,29/05/2012 00:00,25/09/2012 00:00
33,"sexyvegasskin.com",16,-1,1,4,34,175,73,13/07/2013 00:00,20/07/2013 00:00,"50.63.208.1","50.63.208.0","US","com",13,4,4,17/02/2013 00:00,13/07/2013 00:00
34,"searchqu.com",4983,2213,1,3,2254825,628855,200444,12/10/2009 00:00,10/08/2013 00:00,"207.232.22.60","207.232.22.0","IL","com",20,14,3,24/05/2013 00:00,01/06/2013 00:00
35,"lasvegas.com",24365,36982,1,3,2129470,477959,212869,09/01/2008 00:00,10/08/2013 00:00,"173.213.226.186","173.213.226.0","US","com",60,64,3,07/12/2012 00:00,13/01/2013 00:00
36,"ccsd.net",16190,37027,1,3,1087942,1260653,681488,27/01/2008 00:00,10/08/2013 00:00,"169.241.10.40","169.241.10.0","US","net",41,51,3,07/02/2013 00:00,07/02/2013 00:00
37,"ktnv.com",54254,68769,1,3,1696744,902543,503539,16/02/2008 00:00,10/08/2013 00:00,"87.248.218.252","87.248.218.0","IT","com",53,51,3,09/02/2013 00:00,02/03/2013 00:00
38,"galavantier.com",3536,526713,1,3,242282,5888,4679,23/08/2011 00:00,10/08/2013 00:00,"184.106.100.189","184.106.100.0","US","com",42,20,3,09/07/2012 00:00,30/06/2013 00:00
39,"lvwomanmagazine.com",353,-1,1,3,6821,6298,3845,06/01/2010 00:00,10/08/2013 00:00,"198.1.102.98","198.1.102.0","US","com",26,23,3,27/01/2013 00:00,09/02/2013 00:00
40,"tarotjourney.net",964,-1,1,3,8324,106017,74598,26/01/2008 00:00,31/07/2013 00:00,"70.87.187.178","70.87.187.0","US","net",16,15,3,21/03/2013 00:00,23/03/2013 00:00
41,"lvfnb.com",166,-1,1,3,4730,3108,2894,07/08/2012 00:00,10/08/2013 00:00,"198.187.29.88","198.187.29.0","US","com",21,33,3,30/08/2012 00:00,18/07/2013 00:00
