"Position","Domain","RefDomains","AlexaRank","Matches","MatchedLinks","ExtBackLinks","IndexedURLs","CrawledURLs","FirstCrawled","LastSuccessfulCrawl","IP","SubNet","CountryCode","TLD","CitationFlow","TrustFlow","BackLinks_shaarei-tefilla.org","FirstLinkDate_shaarei-tefilla.org","LastLinkDate_shaarei-tefilla.org"
30,"koshertravelinfo.com",1769,-1,1,2,22683,53484,24481,18/01/2008 00:00,31/07/2013 00:00,"216.172.172.120","216.172.172.0","US","com",15,13,2,22/07/2008 00:00,22/07/2008 00:00
31,"jewishvegas.net",10,-1,1,2,12,5973,1128,05/06/2013 00:00,24/07/2013 00:00,"74.208.92.214","74.208.92.0","US","net",0,0,2,19/01/2009 00:00,30/08/2012 00:00
32,"ouwestcoast.org",385,-1,1,2,211141,649180,508895,18/02/2008 00:00,10/08/2013 00:00,"210.252.61.130","210.252.61.0","JP","org",18,33,2,25/01/2008 00:00,02/05/2012 00:00
33,"query.in",9,-1,1,2,196,1519028,1519028,06/06/2008 00:00,10/08/2013 00:00,"93.170.52.31","93.170.52.0","CZ","in",0,0,2,26/02/2009 00:00,26/02/2009 00:00
34,"abc100web.com",2,-1,1,2,3,415368,415368,23/03/2008 00:00,15/10/2012 00:00,"8.5.1.35","8.5.1.0","US","com",0,0,2,27/11/2009 00:00,24/12/2009 00:00
35,"statsdaemon.com",6628,-1,1,2,326997,3672378,762193,19/06/2009 00:00,23/07/2013 00:00,"188.92.75.58","188.92.75.0","LV","com",18,5,2,26/06/2010 00:00,12/07/2010 00:00
36,"jccsn.org",10581,-1,1,2,374417,46249,18551,28/01/2008 00:00,10/08/2013 00:00,"199.47.211.67","199.47.211.0","US","org",26,15,2,23/05/2011 00:00,10/07/2013 00:00
37,"tietoportti.com",702,-1,1,2,5983,1989513,349291,02/05/2010 00:00,10/08/2013 00:00,"84.234.72.109","84.234.72.0","FI","com",12,12,2,03/10/2010 00:00,08/12/2011 00:00
38,"indotophits.com",1533,-1,1,2,874997,1408765,401582,06/01/2010 00:00,10/08/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",17,3,2,23/04/2010 00:00,23/04/2010 00:00
39,"properties-in-hd.com",2,-1,1,2,3,359976,359976,07/05/2010 00:00,18/07/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",0,0,2,24/10/2011 00:00,24/10/2011 00:00
40,"blogspot.com",10026461,11,1,1,30390382927,4792000861,276091166,09/01/2008 00:00,10/08/2013 00:00,"173.194.73.191","173.194.73.0","US","com",95,90,1,08/08/2008 00:00,08/08/2008 00:00
41,"blogger.com",2152689,54,1,1,21357912695,3217813353,11277203,09/01/2008 00:00,10/08/2013 00:00,"74.125.136.191","74.125.136.0","US","com",88,81,1,24/08/2008 00:00,24/08/2008 00:00
42,"chow.com",4517071,3769,1,1,138783798,8921663,1820818,10/01/2008 00:00,10/08/2013 00:00,"95.100.249.131","95.100.249.0","EU","com",68,62,1,01/02/2009 00:00,09/02/2013 00:00
43,"churchblessings.com",177,61682,1,1,624,1738,1406,15/09/2008 00:00,10/08/2013 00:00,"66.113.131.74","66.113.131.0","US","com",14,19,1,08/04/2013 00:00,27/07/2013 00:00
44,"onthesamehost.com",11506,236348,1,1,1503125,10913271,1074118,18/06/2009 00:00,10/08/2013 00:00,"54.243.185.251","54.243.185.0","US","com",42,23,1,03/12/2010 00:00,03/12/2010 00:00
45,"chowhound.com",28427,414380,1,1,9718890,1086429,255924,10/01/2008 00:00,25/07/2013 00:00,"54.241.128.15","54.241.128.0","US","com",35,42,1,10/02/2008 00:00,16/02/2008 00:00
46,"citizendia.org",7579,444020,1,1,4015537,4209641,1713612,03/07/2008 00:00,10/08/2013 00:00,"108.61.56.107","108.61.56.0","US","org",38,17,1,22/01/2011 00:00,22/01/2011 00:00
47,"atti.com",1450,456942,1,1,10355,14018672,237996,09/10/2008 00:00,10/08/2013 00:00,"208.93.105.59","208.93.105.0","US","com",21,25,1,28/10/2010 00:00,20/03/2012 00:00
48,"netinfo.bg",12851,529523,1,1,12346113,15482154,2812335,24/01/2008 00:00,10/08/2013 00:00,"87.120.176.5","87.120.176.0","BG","bg",42,37,1,25/12/2010 00:00,25/12/2010 00:00
49,"kcheck.net",2414,-1,1,1,5689995,5329106,1355686,05/09/2008 00:00,16/03/2012 00:00,"133.242.23.147","133.242.23.0","JP","net",17,9,1,19/02/2011 00:00,19/02/2011 00:00
50,"oudate.net",19,-1,1,1,36,116745,50396,01/09/2008 00:00,11/03/2011 00:00,"165.193.200.101","165.193.200.0","US","net",0,0,1,31/01/2009 00:00,31/01/2009 00:00
51,"nationalshidduchregistry.org",6,-1,1,1,7,114809,106634,01/02/2009 00:00,20/02/2011 00:00,"165.193.200.101","165.193.200.0","US","org",0,0,1,16/05/2009 00:00,16/05/2009 00:00
52,"abcsok.no",8552,-1,1,1,1958386,19484801,1307350,21/01/2008 00:00,31/07/2013 00:00,"77.40.177.20","77.40.177.0","NO","no",30,30,1,10/01/2010 00:00,10/01/2010 00:00
53,"healthdiscussions.org",842,-1,1,1,7274,1864565,413147,29/01/2010 00:00,10/08/2013 00:00,"207.58.129.240","207.58.129.0","US","org",12,5,1,15/02/2011 00:00,15/02/2011 00:00
54,"investorsinfo.org",0,-1,1,1,0,180299,180298,09/10/2010 00:00,03/05/2011 00:00,"209.160.26.120","209.160.26.0","US","org",0,0,1,13/04/2011 00:00,13/04/2011 00:00
55,"tribefest.org",8108,-1,1,1,86030,15702,15122,05/12/2010 00:00,10/08/2013 00:00,"216.243.167.137","216.243.167.0","US","org",30,17,1,01/02/2012 00:00,15/02/2012 00:00
56,"sharon-rtc.org",7,-1,1,1,41,10,8,04/12/2008 00:00,04/12/2008 00:00,"91.121.81.175","91.121.81.0","FR","org",4,0,1,29/04/2013 00:00,29/04/2013 00:00
57,"medical-answers.org",1695,-1,1,1,684340,2934863,507720,23/01/2008 00:00,10/08/2013 00:00,"207.58.135.72","207.58.135.0","US","org",18,6,1,20/01/2011 00:00,20/01/2011 00:00
58,"ouradio.org",3571,-1,1,1,3038626,650331,332592,25/01/2008 00:00,10/08/2013 00:00,"184.106.69.243","184.106.69.0","US","org",24,34,1,06/09/2009 00:00,24/11/2011 00:00
59,"thecleverbride.net",620,-1,1,1,4452,73727,49980,03/10/2008 00:00,10/08/2013 00:00,"64.15.67.217","64.15.67.0","CA","net",22,12,1,14/07/2013 00:00,14/07/2013 00:00
60,"godaven.net",5,-1,1,1,9,1896,1503,08/03/2009 00:00,27/04/2011 00:00,"74.208.105.60","74.208.105.0","US","net",0,0,1,21/05/2009 00:00,21/05/2009 00:00
61,"shopcentralonline.com",27,-1,1,1,1077,295438,105406,18/04/2008 00:00,16/02/2013 00:00,"184.168.36.1","184.168.36.0","US","com",6,13,1,19/03/2009 00:00,19/03/2009 00:00
62,"minyanmap.info",3,-1,1,1,5,1744,1472,26/06/2009 00:00,07/07/2011 00:00,"74.208.105.60","74.208.105.0","US","info",0,0,1,21/07/2009 00:00,21/07/2009 00:00
63,"10-free-porn-videos.com",193,-1,1,1,174656,1963979,252490,02/02/2008 00:00,11/10/2010 00:00,"208.73.210.29","208.73.210.0","US","com",7,0,1,23/11/2008 00:00,23/11/2008 00:00
64,"commercemaven.com",29,-1,1,1,427,11,7,15/01/2008 00:00,15/01/2008 00:00,"91.121.81.175","91.121.81.0","FR","com",5,0,1,15/01/2008 00:00,15/01/2008 00:00
65,"diamondrate.com",6,-1,1,1,6,579269,579268,05/02/2008 00:00,31/07/2013 00:00,"199.59.243.107","199.59.243.0","US","com",0,0,1,05/06/2010 00:00,05/06/2010 00:00
66,"divreitorah.com",8,-1,1,1,12,2576,1349,26/07/2008 00:00,19/05/2011 00:00,"74.208.105.60","74.208.105.0","US","com",0,0,1,18/10/2008 00:00,18/10/2008 00:00
67,"frhse.com",4633,-1,1,1,133872,2394746,709520,01/05/2009 00:00,22/06/2013 00:00,"188.92.75.58","188.92.75.0","LV","com",20,4,1,22/06/2010 00:00,22/06/2010 00:00
68,"gay-menz.com",5,-1,1,1,18,1420092,1420092,16/10/2008 00:00,31/07/2013 00:00,"208.87.35.103","208.87.35.0","BS","com",0,0,1,13/01/2010 00:00,13/01/2010 00:00
69,"golearntorah.com",2,-1,1,1,2,1307,1247,05/04/2013 00:00,21/07/2013 00:00,"74.208.137.229","74.208.137.0","US","com",5,3,1,04/04/2013 00:00,18/04/2013 00:00
70,"haruth.com",10554,-1,1,1,120606,4547,3664,02/02/2008 00:00,10/08/2013 00:00,"206.188.192.209","206.188.192.0","US","com",36,32,1,30/07/2012 00:00,25/05/2013 00:00
71,"kosherhqvegas.com",6,-1,1,1,1567,95,94,30/06/2013 00:00,10/08/2013 00:00,"184.168.136.1","184.168.136.0","US","com",12,3,1,21/02/2013 00:00,01/07/2013 00:00
72,"lvokay.com",121,-1,1,1,27138,1737,1188,01/02/2008 00:00,19/12/2012 00:00,"208.113.150.135","208.113.150.0","US","com",11,7,1,24/03/2008 00:00,24/03/2008 00:00
73,"mimamoo.com",219,-1,1,1,127221,192921,65042,24/01/2011 00:00,10/08/2013 00:00,"141.101.127.40","141.101.127.0","EU","com",17,17,1,28/12/2012 00:00,28/12/2012 00:00
74,"minyanmaps.info",3,-1,1,1,6,1545,1337,27/03/2009 00:00,16/08/2009 00:00,"74.208.105.60","74.208.105.0","US","info",0,0,1,25/07/2009 00:00,25/07/2009 00:00
75,"pishpush.com",18,-1,1,1,25,1228439,1228438,12/10/2008 00:00,10/08/2013 00:00,"75.101.138.11","75.101.138.0","US","com",0,0,1,04/11/2009 00:00,04/11/2009 00:00
76,"roadip.com",12,-1,1,1,33834,537964,537963,13/01/2008 00:00,01/08/2013 00:00,"74.208.175.238","74.208.175.0","US","com",0,0,1,19/08/2008 00:00,19/08/2008 00:00
77,"shmoogle.com",1095,-1,1,1,16069,4414,3347,13/05/2008 00:00,10/08/2013 00:00,"216.70.96.41","216.70.96.0","US","com",27,16,1,13/02/2013 00:00,19/02/2013 00:00
78,"jobandbusinessnevada.us",78,-1,1,1,34031,256253,101392,26/06/2009 00:00,25/05/2013 00:00,"208.73.211.12","208.73.211.0","US","us",6,0,1,29/01/2010 00:00,29/01/2010 00:00
79,"tangentdesignlabs.com",38,-1,1,1,246,608,432,21/03/2011 00:00,08/08/2013 00:00,"66.147.244.215","66.147.244.0","US","com",20,9,1,28/09/2012 00:00,28/09/2012 00:00
80,"therichjerkformula.com",3,-1,1,1,4,1169774,1169774,17/01/2008 00:00,10/08/2013 00:00,"176.74.176.167","176.74.176.0","UK","com",0,0,1,20/09/2009 00:00,20/09/2009 00:00
81,"theroamingjew.com",55,-1,1,1,155,2329,2103,02/09/2010 00:00,10/08/2013 00:00,"97.74.177.64","97.74.177.0","US","com",8,9,1,20/10/2010 00:00,05/06/2013 00:00
82,"wikiwak.com",5541,-1,1,1,331361,7281183,603947,10/11/2009 00:00,09/08/2013 00:00,"65.19.154.165","65.19.154.0","US","com",25,13,1,25/02/2010 00:00,25/02/2010 00:00
83,"909.dk",1583,-1,1,1,8161,17650945,1480558,25/01/2008 00:00,10/08/2013 00:00,"80.69.234.13","80.69.234.0","SE","dk",14,26,1,27/09/2010 00:00,27/09/2010 00:00
84,"davening.info",2,-1,1,1,4,1478,1261,01/03/2009 00:00,06/06/2009 00:00,"74.208.105.60","74.208.105.0","US","info",0,0,1,06/06/2009 00:00,06/06/2009 00:00
85,"godaven.info",2,-1,1,1,6,1567,1452,28/04/2009 00:00,15/12/2009 00:00,"74.208.105.60","74.208.105.0","US","info",0,0,1,15/12/2009 00:00,15/12/2009 00:00
86,"iklanprima.info",2272,-1,1,1,365302,12676723,794189,17/10/2008 00:00,10/08/2013 00:00,"208.87.35.104","208.87.35.0","BS","info",16,2,1,14/06/2010 00:00,14/06/2010 00:00
87,"psloveblog.com",670,-1,1,1,17671,4592,2339,18/03/2008 00:00,10/08/2013 00:00,"50.63.49.1","50.63.49.0","US","com",17,10,1,11/09/2008 00:00,11/09/2008 00:00
88,"websitesearch.com.ar",0,-1,1,1,0,652033,652032,24/10/2008 00:00,23/06/2010 00:00,"92.242.132.15","92.242.132.0","UK","ar",0,0,1,21/03/2010 00:00,21/03/2010 00:00
